name,mult,charge,chi,smi
S(272),2,0,"InChI=1S/C5H7O3/c6-4-2-1-3-5(4)8-7/h1,3-6H,2H2",OC1C(O[O])C=CC1
S(120),2,0,"InChI=1S/C5H7O3/c6-8-5-3-1-2-4(5)7-3/h3-5H,1-2H2",[O]OC1C2OC1CC2
C5H7O(103),2,0,"InChI=1S/C5H7O/c1-2-5(3-1)4-6-5/h4H,1-3H2",O1C2(CCC2)[CH]1
C5H7O(695),2,0,"InChI=1S/C5H7O/c6-4-5-2-1-3-5/h4H,1-3H2",O=C[C]1CCC1
S(127),2,0,"InChI=1S/C5H7O3/c6-8-5-3-1-2-4-7-5/h1-2,4-6H,3H2",OOC1O[CH]C=CC1
S(123),2,0,"InChI=1S/C5H7O3/c1-2-4-6-5(3-1)8-7-4/h2,4-5H,1,3H2",O1C2OOC1[CH]CC2
C5H7O(291),2,0,"InChI=1S/C5H7O/c1-3-5(6)4-2/h1,3-6H,2H2",OC(C=C)C=[CH]
C5H7O(134),2,0,"InChI=1S/C5H7O/c6-4-5-2-1-3-5/h2,4-5H,1,3H2",O=CC1CC[CH]1
C5H7O(297),2,0,"InChI=1S/C5H7O/c1-4-2-3-5(4)6/h4H,1-3H2",O=C1C(CC1)[CH2]
S(350),2,0,"InChI=1S/C5H7O3/c1-2-3-4-5(6)8-7/h2H,1,3-4H2",O=C(O[O])CCC=C
S(367),2,0,"InChI=1S/C5H7O3/c6-3-1-5-2-4-7-8-5/h1,3,5H,2,4H2",O=C[CH]C1OOCC1
C5H7O(179),2,0,"InChI=1S/C5H7O/c1-4-2-5(4)3-6/h3-5H,1-2H2",O=CC1C(C1)[CH2]
C5H7O(807),2,0,"InChI=1S/C5H7O/c1-3-5(2)4-6/h3-5H,1-2H2",O=CC(C=C)[CH2]
C5H7O(674),2,0,"InChI=1S/C5H7O/c1-5-3-2-4-6-5/h4H,1-3H2",C=C1O[CH]CC1
C5H6O(149),1,0,"InChI=1S/C5H6O/c1-2-3-4-5-6/h1,5H,3-4H2",O=CCCC#C
S(478),2,0,"InChI=1S/C5H7O3/c1-2-3-5(4-6)8-7/h2,5,7H,1,3H2",OOC(CC=C)[C]=O
S(372),2,0,"InChI=1S/C5H7O3/c6-4-2-1-3-5-8-7/h1,4,7H,3,5H2",OOCCC=[C]C=O
C5H7O(164),2,0,"InChI=1S/C5H7O/c6-4-3-5-1-2-5/h4H,1-3H2",O=CC[C]1CC1
C5H7O(153),2,0,"InChI=1S/C5H7O/c1-2-3-4-5-6/h2-3,5H,1,4H2",O=CCC=C[CH2]
C5H7O(165),2,0,"InChI=1S/C5H7O/c6-4-3-5-1-2-5/h5H,1-3H2",O=[C]CC1CC1
C5H7O3(85),2,0,"InChI=1S/C5H7O3/c1-2-3-4-5(7-4)8-6/h2,4-5H,1,3H2",[O]OC1OC1CC=C
S(314),2,0,"InChI=1S/C5H7O3/c6-4-2-1-3-5(4)8-7/h1-2,4-6H,3H2",OC1C(O[O])CC=C1
C5H7O(20),2,0,"InChI=1S/C5H7O/c6-5-3-1-2-4-5/h3-4,6H,1-2H2",OC=1[CH]CCC=1
C5H7O(651),2,0,"InChI=1S/C5H7O/c1-5(2)3-4-6/h3-4,6H,1-2H2",OC=CC([CH2])=C
C5H7O(171),2,0,"InChI=1S/C5H7O/c1-5-3-2-4-6-5/h2,4-5H,1,3H2",[CH2]C1OC=CC1
S(381),2,0,"InChI=1S/C5H7O3/c6-4-1-2-5(3-4)7-8-5/h3-4,6H,1-2H2",OC1CCC2(OO2)[CH]1
C5H7O(157),2,0,"InChI=1S/C5H7O/c1-2-4(1)5-3-6-5/h3-5H,1-2H2",O1C(C2CC2)[CH]1
C5H7O3(55),2,0,"InChI=1S/C5H7O3/c6-8-5-3-1-2-4(5)7-5/h6H,1-3H2",OOC12O[C]2CCC1
S(531),2,0,"InChI=1S/C5H7O3/c6-4-2-1-3-5(4)8-7/h7H,1-3H2",OO[C]1CCCC1=O
S(111),1,0,InChI=1S/C5H6O2/c6-4-2-1-3-5(4)7/h1-3H2,O=C1CCCC1=O
C5H6O(313),1,0,"InChI=1S/C5H6O/c6-5-3-1-2-4-5/h1,3-4,6H,2H2",OC1=CCC=C1
H2(67),1,0,InChI=1S/H2/h1H,[H][H]
S(552),2,0,"InChI=1S/C5H7O3/c1-3-5-6-4(2)7-8-5/h3-5H,1-2H2",[CH2]C1OC(OO1)C=C
S(380),2,0,"InChI=1S/C5H7O3/c6-3-1-2-4-5(3)8-7-4/h3,5-6H,1-2H2",OC1C2OO[C]2CC1
C3H3O(298),2,0,"InChI=1S/C3H3O/c1-2-3-4/h2H,1H2",O=C=C[CH2]
S(347),2,0,"InChI=1S/C5H7O3/c6-8-5-2-1-3-7-4-5/h4H,1-3H2",[O]OC=1CCCOC=1
C5H8O(199),1,0,"InChI=1S/C5H8O/c1-3-5-6-4-2/h3-5H,2H2,1H3",CC=COC=C
C5H8O(198),1,0,"InChI=1S/C5H8O/c1-3-5-6-4-2/h3-4H,1-2,5H2",C=CCOC=C
