eq,obj,orig_eq,orig_chi
C#C(443) + C3H5O(444) = C5H7O(29)z,"atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: false}
  0-2: {order: 1, stereo_parity: null}
  1-3: {order: 1, stereo_parity: null}
  1-4: {order: 0.1, stereo_parity: null}
  4-5: {order: 1, stereo_parity: null}
  4-8: {order: 1, stereo_parity: null}
  4-9: {order: 1, stereo_parity: null}
  5-6: {order: 1, stereo_parity: null}
  5-10: {order: 1, stereo_parity: null}
  5-11: {order: 1, stereo_parity: null}
  6-7: {order: 1, stereo_parity: null}
  6-12: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3]
- [4, 5, 6, 7, 8, 9, 10, 11, 12]
products keys:
- [0, 1, 4, 5, 6, 7, 2, 3, 8, 9, 10, 11, 12]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
",C#C(443) + C3H5O(444) = C5H7O(29),"AMChI=1/C5H7O/c1-2-3-5-4-6/h1-2,4H,3,5H2/k3-2/r1"
C#C(443) + C3H5O(444) = C5H7O(29)e,"atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: true}
  0-2: {order: 1, stereo_parity: null}
  1-3: {order: 1, stereo_parity: null}
  1-4: {order: 0.1, stereo_parity: null}
  4-5: {order: 1, stereo_parity: null}
  4-8: {order: 1, stereo_parity: null}
  4-9: {order: 1, stereo_parity: null}
  5-6: {order: 1, stereo_parity: null}
  5-10: {order: 1, stereo_parity: null}
  5-11: {order: 1, stereo_parity: null}
  6-7: {order: 1, stereo_parity: null}
  6-12: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3]
- [4, 5, 6, 7, 8, 9, 10, 11, 12]
products keys:
- [0, 1, 4, 5, 6, 7, 2, 3, 8, 9, 10, 11, 12]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
",C#C(443) + C3H5O(444) = C5H7O(29),"AMChI=1/C5H7O/c1-2-3-5-4-6/h1-2,4H,3,5H2/k3-2/r1"
C2H2O(362) + C3H5(363) = C5H7O(20),"atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-3: {order: 1, stereo_parity: null}
  0-4: {order: 1, stereo_parity: null}
  1-2: {order: 1, stereo_parity: null}
  1-6: {order: 0.1, stereo_parity: null}
  5-7: {order: 1, stereo_parity: null}
  5-8: {order: 1, stereo_parity: null}
  5-9: {order: 1, stereo_parity: null}
  6-7: {order: 1, stereo_parity: null}
  6-10: {order: 1, stereo_parity: null}
  6-11: {order: 1, stereo_parity: null}
  7-12: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4]
- [5, 6, 7, 8, 9, 10, 11, 12]
products keys:
- [5, 0, 7, 6, 1, 2, 8, 9, 3, 4, 12, 10, 11]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
",C2H2O(362) + C3H5(363) = C5H7O(20),"AMChI=1/C5H7O/c1-4(6)3-5-2/h5H,1-3H2/k4-3/r1"
C2H2O(362) + C3H5(363) = C5H7O(21),"atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  12: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-3: {order: 1, stereo_parity: null}
  0-4: {order: 1, stereo_parity: null}
  0-6: {order: 0.1, stereo_parity: null}
  1-2: {order: 1, stereo_parity: null}
  5-7: {order: 1, stereo_parity: null}
  5-8: {order: 1, stereo_parity: null}
  5-9: {order: 1, stereo_parity: null}
  6-7: {order: 1, stereo_parity: null}
  6-10: {order: 1, stereo_parity: null}
  6-11: {order: 1, stereo_parity: null}
  7-12: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4]
- [5, 6, 7, 8, 9, 10, 11, 12]
products keys:
- [5, 7, 6, 0, 1, 2, 8, 9, 12, 11, 10, 3, 4]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
",C2H2O(362) + C3H5(363) = C5H7O(21),"AMChI=1/C5H7O/c1-5-3-2-4-6/h5H,1-3H2/k3-2/r1"
C2H3(425) + C2H3(425) = C4H6(436),"atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-2: {order: 1, stereo_parity: null}
  0-5: {order: 0.1, stereo_parity: null}
  1-3: {order: 1, stereo_parity: null}
  1-4: {order: 1, stereo_parity: null}
  5-6: {order: 1, stereo_parity: null}
  5-7: {order: 1, stereo_parity: null}
  6-8: {order: 1, stereo_parity: null}
  6-9: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4]
- [5, 6, 7, 8, 9]
products keys:
- [1, 6, 0, 5, 3, 4, 8, 9, 2, 7]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
",C2H3(425) + C2H3(425) = C4H6(436),"AMChI=1/C4H6/c3-1-2-4/h1-2H,3-4H2/k2-1/r1"
C2H3(425) + C2H3O(385) = S(1080),"atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-2: {order: 1, stereo_parity: null}
  0-5: {order: 0.1, stereo_parity: null}
  1-3: {order: 1, stereo_parity: null}
  1-4: {order: 1, stereo_parity: null}
  5-6: {order: 1, stereo_parity: null}
  5-8: {order: 1, stereo_parity: null}
  5-9: {order: 1, stereo_parity: null}
  6-7: {order: 1, stereo_parity: null}
  6-10: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4]
- [5, 6, 7, 8, 9, 10]
products keys:
- [1, 0, 5, 6, 7, 3, 4, 2, 8, 9, 10]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
",C2H3(425) + C2H3O(385) = S(1080),"AMChI=1/C4H6O/c2-1-3-4-5/h1,4H,2-3H2/k3-1/r1"
C2H3(425) + C2H3O(385) = S(1080),"atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-5: {order: 1, stereo_parity: null}
  0-6: {order: 1, stereo_parity: null}
  1-2: {order: 0.1, stereo_parity: null}
  1-4: {order: 0.9, stereo_parity: null}
  1-7: {order: 1, stereo_parity: null}
  2-3: {order: 1, stereo_parity: null}
  2-8: {order: 1, stereo_parity: null}
  2-9: {order: 1, stereo_parity: null}
  3-4: {order: 0.1, stereo_parity: null}
  3-10: {order: 1, stereo_parity: null}
reactants keys:
- [3, 2, 10, 8, 9]
- [0, 1, 4, 5, 6, 7]
products keys:
- [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
reaction class: insertion
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
",C2H3(425) + C2H3O(385) = S(1080),"AMChI=1/C4H6O/c3-1-4-2-5-1/h1-2H,3-4H2/k4-1,5-2/f5-1/r1"
C2H3(425) + C3H3O(376)e = C5H6O(375)z,"atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-2: {order: 1, stereo_parity: null}
  0-5: {order: 0.1, stereo_parity: null}
  1-3: {order: 1, stereo_parity: null}
  1-4: {order: 1, stereo_parity: null}
  5-6: {order: 1, stereo_parity: false}
  5-9: {order: 1, stereo_parity: null}
  6-7: {order: 1, stereo_parity: null}
  6-10: {order: 1, stereo_parity: null}
  7-8: {order: 1, stereo_parity: null}
  7-11: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4]
- [5, 6, 7, 8, 9, 10, 11]
products keys:
- [1, 0, 5, 6, 7, 8, 3, 4, 2, 9, 10, 11]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
",C2H3(425) + C3H3O(376) = C5H6O(375),"AMChI=1/C5H6O/c3-1-2-4-5-6/h1-2,4-5H,3H2/k2-1/r1"
C2H3(425) + C3H3O(376)z = C5H6O(375)e,"atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  7: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-2: {order: 1, stereo_parity: null}
  0-5: {order: 0.1, stereo_parity: null}
  1-3: {order: 1, stereo_parity: null}
  1-4: {order: 1, stereo_parity: null}
  5-6: {order: 1, stereo_parity: true}
  5-9: {order: 1, stereo_parity: null}
  6-7: {order: 1, stereo_parity: null}
  6-10: {order: 1, stereo_parity: null}
  7-8: {order: 1, stereo_parity: null}
  7-11: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4]
- [5, 6, 7, 8, 9, 10, 11]
products keys:
- [1, 0, 5, 6, 7, 8, 3, 4, 2, 9, 10, 11]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
",C2H3(425) + C3H3O(376) = C5H6O(375),"AMChI=1/C5H6O/c3-1-2-4-5-6/h1-2,4-5H,3H2/k2-1/r1"
C2H3(425) + C3H3O(65) = C5H6O(57)r0,"atoms:
  0: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  1: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  2: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  3: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  4: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  5: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  6: {symbol: C, implicit_hydrogens: 0, stereo_parity: false}
  7: {symbol: C, implicit_hydrogens: 0, stereo_parity: null}
  8: {symbol: O, implicit_hydrogens: 0, stereo_parity: null}
  9: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  10: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
  11: {symbol: H, implicit_hydrogens: 0, stereo_parity: null}
bonds:
  0-1: {order: 1, stereo_parity: null}
  0-2: {order: 1, stereo_parity: null}
  0-6: {order: 0.1, stereo_parity: null}
  1-3: {order: 1, stereo_parity: null}
  1-4: {order: 1, stereo_parity: null}
  5-6: {order: 1, stereo_parity: null}
  5-7: {order: 1, stereo_parity: null}
  5-9: {order: 1, stereo_parity: null}
  6-8: {order: 1, stereo_parity: null}
  6-10: {order: 1, stereo_parity: null}
  7-8: {order: 1, stereo_parity: null}
  7-11: {order: 1, stereo_parity: null}
reactants keys:
- [0, 1, 2, 3, 4]
- [5, 6, 7, 8, 9, 10, 11]
products keys:
- [1, 0, 5, 7, 6, 8, 3, 4, 2, 9, 11, 10]
reaction class: addition
structure type: null
ts structure: null
reactant structures: null
product structures: null
ts conversion info: null
reactants conversion info: null
products conversion info: null
",C2H3(425) + C3H3O(65) = C5H6O(57),"AMChI=1/C5H6O/c2-1-5-3-4-6-5/h1,3-5H,2H2/k5-1/r1"
