eq,rate
S(1320) + C3H5(1027) = HO(46) + C5H8O(420),"SimpleRate(k=ArrheniusFunction(A=19775.14, b=2.41, E=0.233, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(1320) + C3H5(1270) = HO(46) + S(1314),"SimpleRate(k=ArrheniusFunction(A=10413.95, b=2.41, E=-0.038, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(1320) + C3H5(80) = HO(46) + C5H8O(156),"SimpleRate(k=ArrheniusFunction(A=14913.13, b=2.51, E=10.029, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(1320) + C3H5O(151) = HO(46) + S(2892),"SimpleRate(k=ArrheniusFunction(A=1071.0, b=2.72, E=8.24, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(1320) + C3H5O(803) = HO(46) + S(585),"SimpleRate(k=ArrheniusFunction(A=7456.565, b=2.51, E=10.029, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(1320) + S(1046) = HO(46) + S(3220),"SimpleRate(k=ArrheniusFunction(A=1103967.0, b=1.695, E=7.725, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(1465) = HO(46) + S(3999),"SimpleRate(k=ArrheniusFunction(A=136000.0, b=1.92, E=7.897, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(1683) = HO(46) + S(1160),"SimpleRate(k=ArrheniusFunction(A=0.005686951, b=4.303, E=28.728, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(1683) = HO(46) + S(2796),"SimpleRate(k=ArrheniusFunction(A=1127750000.0, b=0.806, E=3.331, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(1684) = HO(46) + S(1426),"SimpleRate(k=ArrheniusFunction(A=26427.61, b=2.436, E=30.295, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(1785) = HO(46) + S(1784),"SimpleRate(k=ArrheniusFunction(A=52855.23, b=2.436, E=30.295, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(1925) = HO(46) + S(1923),"SimpleRate(k=ArrheniusFunction(A=19000000000.0, b=0.87, E=34.5, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(1925) = HO(46) + S(5142),"SimpleRate(k=ArrheniusFunction(A=25800.0, b=2.04, E=25.3, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(1933) = HO(46) + S(583),"SimpleRate(k=ArrheniusFunction(A=735303.6, b=1.727, E=20.433, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(1934) = HO(46) + S(583),"SimpleRate(k=ArrheniusFunction(A=20000000000.0, b=0.0, E=100.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(1954) = HO(46) + S(2796),"SimpleRate(k=ArrheniusFunction(A=246286900.0, b=1.325, E=25.775, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(2018) = HO(46) + S(2796),"SimpleRate(k=ArrheniusFunction(A=6788460.0, b=1.599, E=17.165, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
