name,orig_name,experiment,lokachari,hill,concentration
OH(4),OH(4),,OH,OH(4),
HO2(8),HO2(8),,HO2,HO2(8),
C5H8(522),C5H8(522),cyclopentene,CYC5H8,C5H8(522),
C5H8O(825)rs,C5H8O(825),"1,2-epoxycyclopentane",CPTYO12,C5H8O(825),
