phi,O2_molecules,CPT_frac,N2_frac,O2_frac,H2(2),OH(4),H2O(5),O2(6),N2,HO2(8),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C5H8(522),CPT(563),C5H8O(825),C6H6(970)
3.0,0.12233,0.005,0.9825,0.0125,740.8060344376789,0.0009714496657716415,3282.022206058326,8581.180007524525,978544.8086743897,1.9689705483382127,2260.390770826802,234.7666750998387,262.00673905361026,39.22111167841265,1494.5861911850527,120.16878734605032,343.90687555351025,21.850021297708242,40.66957803543551,80.88002958876757,480.4946095019831,2334.7572282356,27.743271007296933,2.9718361659821877
2.0,0.1835,0.005,0.97625,0.01875,909.6520697858205,0.0019025548680292783,5305.6014218023265,12198.202911330838,970583.258570288,3.45892603253382,3997.484467450208,556.3882170118848,357.0837246100378,50.826195243410595,1744.7418547431346,109.17531896210419,317.9893155714703,22.73612587661195,33.17980285300922,73.82726964087752,464.5468132799383,1597.3626168006274,33.25176494448351,3.663884887216332
1.75,0.20962,0.005,0.973571429,0.021428571,916.5028339663527,0.002206936161541946,5865.684855797439,14154.874095332681,967583.1619357909,3.967405229997321,4401.542752071927,670.073341509796,358.9362500457543,50.576369973731914,1743.6840735494857,99.72716061374646,298.80603211384795,22.121617463515257,28.8088671193402,71.93442927950296,461.54615257440963,1451.2786911496084,34.639389862924276,3.46623038706047
1.5,0.24456,0.005,0.97,0.025,891.4986546145316,0.0025067788569444888,6388.076294490203,17065.765486473352,963829.8796865315,4.511602100361324,4690.55502474499,787.8337651923483,346.01112756986817,48.17505178583747,1703.720125047318,88.08582832491372,274.8955713431012,21.434258666041565,23.99781062818626,71.32485331624497,464.8630038928827,1332.5979802590894,36.46387626115882,3.130943493686249
1.25,0.29347,0.005,0.965,0.03,827.7460840598463,0.0027726719748633333,6833.418811438678,21524.855977856012,958838.5486207288,5.06852177933811,4806.357059438441,896.0956491058475,317.44217563704615,43.589421379984046,1620.3199377614094,75.00978688173333,246.6386276905401,20.83869806720308,19.133190758383446,72.673886792109,477.4195960592444,1243.503304011812,39.006025258543204,2.702647460244416
1.1,0.33349,0.005,0.960909091,0.034090909,770.069931354198,0.0029054459078145987,7050.527194540481,25369.56243418784,954859.833335918,5.398700258701943,4775.475487701835,948.4844839065381,293.12933769492076,39.917734402576514,1547.3808847371859,66.76929129741305,227.6842976222446,20.546715654219184,16.309932896755303,74.64520207599742,490.23326297487046,1203.745082347876,40.97331589222873,2.4191580581868832
1.0,0.36699,0.005,0.9575,0.0375,723.8618786163854,0.0029807810215396516,7171.645286671295,28652.355128126885,951573.5976044611,5.614285006311385,4709.900943143512,974.9591240723897,274.18211469718057,37.15551531534534,1488.2012401195334,61.17722838443956,214.2179971709738,20.36508033377263,14.491174627774823,76.49906146509532,501.12972235623755,1182.4580805356752,42.49165728763543,2.223525049901231
0.9,0.40744,0.005,0.953333333,0.041666667,671.8525909301143,0.003045193267938488,7272.947115365027,32725.305222470648,947569.9678659883,5.824867135676684,4607.348635681453,992.5274099141384,253.21778512001654,34.18632791136428,1419.7029951698141,55.52779996201316,200.08117205513133,20.174110347983618,12.730001698447907,78.81085586079311,513.9489439552957,1164.9694898175012,44.18378567978516,2.02419494767099
0.75,0.48933,0.005,0.945,0.05,583.9182553755794,0.003121746225332905,7386.504342230111,40983.13924606293,939560.855162156,6.129039694587708,4382.546517892312,997.3720084453012,218.32548852278626,29.42771676334638,1297.1066951776843,46.96497085079617,177.59756081028837,19.81265121900824,10.202042260246385,83.18218950373652,536.8023055564064,1145.069719542972,47.05670664290275,1.7199030967157443
0.65,0.56436,0.005,0.937307692,0.057692308,519.3580232496471,0.0031602008337132622,7435.592779236106,48671.42597868162,932142.5344249394,6.322459431427994,4183.570258749296,982.3325133196469,192.97650827083086,26.103044889908993,1199.9521543467124,41.20072234926427,161.7347406254746,19.47082305049497,8.594289735534781,86.72768706368332,554.4469486219314,1135.4932032338459,49.19729235717613,1.5137392913469152
0.6,0.61116,0.005,0.9325,0.0625,485.4627986640722,0.0031759236253668497,7451.689048477214,53491.9363303582,927491.2127023836,6.415900250813486,4068.4888413825674,968.0732562447429,179.72198914809837,24.406213324604277,1146.0005976292591,38.301391599080965,153.5321054084354,19.25389604768188,7.814049254769937,88.69717158577413,563.9890871945778,1131.6855916413394,50.33503810456667,1.4095071271802113
