phi,O2_molecules,CPT_frac,N2_frac,O2_frac,H2(2),OH(4),H2O(5),O2(6),N2,HO2(8),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C5H8(522),CPT(563),C5H8O(825)rs,C6H6(970)
3.0,0.12233,0.005,0.9825,0.0125,739.994162906367,0.0009697160261938541,3278.0525048233912,8587.771010971122,978552.3344593093,1.9642076057025615,2253.7096431204136,234.39283446271995,261.56961469917644,39.055120776313615,1491.2561131741509,120.0114518663464,343.62436677766556,21.847643846755496,40.63375054581319,81.04114249731808,481.2591410446233,2336.9269204522006,27.781660687708673,2.971984742113914
2.0,0.1835,0.005,0.97625,0.01875,908.6059473613142,0.0018992476287799814,5300.108227661906,12207.766374705421,970593.924816491,3.450733435436193,3986.347139544502,555.9400309557885,356.7481689463266,50.5860794996034,1740.6951323985604,109.02313752263287,317.7084478702538,22.762036861515476,33.15117736910143,74.06043682621265,465.70819063824615,1599.208456313399,33.33110473566606,3.6725340237439243
1.75,0.20962,0.005,0.973571429,0.021428571,915.4717005885,0.002203276086378952,5860.004303266731,14164.905148534823,967594.2921243833,3.9584034601576636,4389.520274433506,669.6629377953462,358.65605984321684,50.32578930137044,1739.587496129668,99.57479190396562,298.49802282995427,22.15342944840038,28.770326294078888,72.17243567544445,462.76991592831234,1452.9470319593092,34.728724931268296,3.475933860909229
1.5,0.24456,0.005,0.97,0.025,890.4933807889197,0.0025027889046475202,6382.191542432814,17076.337156096964,963841.4771273955,4.501895832922902,4677.618031499855,787.4652589598389,345.770291376324,47.9155335199529,1699.5945870064022,87.92657258641579,274.5359241767531,21.470306523757355,23.941889859404927,71.56775960763005,466.15718044300144,1334.1171373598845,36.56448009678002,3.140524320948129
1.25,0.29347,0.005,0.965,0.03,826.744162287532,0.0027682656029809475,6827.114073631984,21536.3774357519,958850.8297381018,5.058165816509088,4792.203564481131,895.7256903405363,317.21057422138784,43.32052922788162,1616.168124743192,74.83648053767453,246.19887015971645,20.877320979580983,19.05273307070064,72.92825785719796,478.82132762063713,1244.9522945444578,39.12174057703315,2.7110261420919257
1.1,0.33349,0.005,0.960909091,0.034090909,769.0525942521421,0.002900679073160309,7043.771823506237,25382.01283168119,954872.6924375242,5.387930714991502,4760.3394156781305,948.064551106998,292.88811991352935,39.642951156963655,1543.2164918119574,66.58511642439747,227.18235418031836,20.58598202676784,16.21165755046218,74.91238893596754,491.73063105948063,1205.2072867282986,41.10130352454055,2.426433760807954
1.0,0.36699,0.005,0.9575,0.0375,722.829859212513,0.002975705748230542,7164.483233968256,28665.618628906494,951586.9089674416,5.603209102803245,4693.989200691032,974.4764721533558,273.92986268067193,36.87702596812979,1484.0343087328279,60.98538271410451,213.66900411744712,20.404252183281855,14.379869119270264,76.77805338219791,502.7078366665401,1183.9558572572018,42.62962655340578,2.2299598534444205
0.9,0.40744,0.005,0.953333333,0.041666667,670.8069957112389,0.003039745814531615,7265.288436624955,32739.551217614815,947583.7654128007,5.813448809355333,4590.572167316077,991.9554582457603,252.9526791252823,33.90467927050162,1415.5433105692416,55.32838387131946,199.48114878024433,20.212605732763883,12.604860757898809,79.10461250196003,515.6234165002475,1166.5253136387755,44.33343112477263,2.02973430044506
0.75,0.48933,0.005,0.945,0.05,582.8683074913184,0.0031156132410869604,7377.946303732763,40999.172948233034,939575.3656551335,6.117023243905826,4364.358793759822,996.6180967046605,218.04270838321295,29.143356084176634,1292.9923407943265,46.75544602420368,176.91541419658728,19.848591715658724,10.0550533924516,83.50405898868347,538.6538301881188,1146.7546822177655,47.22747850317456,1.7240518685291395
0.65,0.56436,0.005,0.937307692,0.057692308,518.3284799374806,0.0031535305083624406,7426.36604126457,48688.82642260653,932157.4163838443,6.309983854586945,4164.436746578242,981.4347496067567,192.68731971924012,25.8191103795879,1195.908042764571,40.98622585437494,160.99641001966896,19.503657613613534,8.43255642120855,87.07229645859012,556.4397736949131,1137.2902295563833,49.38478400169701,1.5169669262972048
