phi,O2_molecules,CPT_frac,N2_frac,O2_frac,OH(4),HO2(8),C5H8(522),C5H8O(825)rs
3.0,0.12233,0.005,0.9825,0.0125,0.0010337203642405935,2.010945288064058,470.7262117718291,28.89514060535529
2.0,0.1835,0.005,0.97625,0.01875,0.002043022560660469,3.62671834114152,443.037547875251,33.83013756152193
1.75,0.20962,0.005,0.973571429,0.021428571,0.0023471361947042407,4.155557715273086,441.1004812100077,35.3084542338164
1.5,0.24456,0.005,0.97,0.025,0.002623617372859914,4.701461159156734,447.90239441258825,37.44689377205298
1.25,0.29347,0.005,0.965,0.03,0.0028420459870696986,5.23966734605271,466.03806964871467,40.5403021308072
1.1,0.33349,0.005,0.960909091,0.034090909,0.002937552121939699,5.550860876284342,483.0002238102324,42.94850619216233
1.0,0.36699,0.005,0.9575,0.0375,0.0029859714893742235,5.751936593928407,496.93743249489484,44.80491673775004
0.9,0.40744,0.005,0.953333333,0.041666667,0.0030229032253813247,5.947584782258938,512.9910632402346,46.869495428226365
0.75,0.48933,0.005,0.945,0.05,0.003059463849052518,6.230966066309908,541.0109277920502,50.362878137953956
0.65,0.56436,0.005,0.937307692,0.057692308,0.0030738047135594206,6.413477775802712,562.2664412756395,52.95426155742361
0.6,0.61116,0.005,0.9325,0.0625,0.0030787590901915373,6.502902341421915,573.6463578717216,54.326384830393515
0.55,0.66697,0.005,0.926818182,0.068181818,0.0030826334027895504,6.591119730330416,585.5157426166588,55.747529154809406
0.5,0.73349,0.005,0.92,0.075,0.0030857371039970435,6.678099687903828,597.8645010093447,57.21567585018834
0.45,0.81519,0.005,0.911666667,0.083333333,0.003088371169566922,6.763752302373286,610.6824512120139,58.728359640045404
0.4,0.91709,0.005,0.90125,0.09375,0.0030907971355830506,6.8478925116218905,623.9607601692901,60.282795301361986
0.35,1.0482,0.005,0.887857143,0.107142857,0.003093176692972809,6.930189510436433,637.6943819053532,61.876240208542825
0.31,1.18334,0.005,0.874032258,0.120967742,0.003095021311869205,6.994346155418808,649.0101921262014,63.17776727999541
0.28,1.31012,0.005,0.861071429,0.133928571,0.0030962451939681463,7.0412344814620145,657.6920520481934,64.16949882664935
0.25,1.46734,0.005,0.845,0.15,0.003097120982134696,7.086852917607968,666.5440423203844,65.1753360395398
0.23,1.59493,0.005,0.831956522,0.163043478,0.0030973502390429977,7.116464805087716,672.5399660863983,65.8544859855805
0.2,1.83417,0.005,0.8075,0.1875,0.003096787377103566,7.159603316921098,681.6679393776292,66.88796538359063
0.19,1.93071,0.005,0.797631579,0.197368421,0.0030962551509747956,7.173655848064347,684.7414888134016,67.236874940022
0.17,2.15785,0.005,0.774411765,0.220588235,0.0030944765205743237,7.2013833900269,690.9177585972213,67.94205859776208
0.15,2.44557,0.005,0.745,0.25,0.0030914801453363443,7.22894499461926,697.0909913017721,68.65748528277209
0.13,2.75147,0.005,0.706538462,0.288461538,0.0030869223877263577,7.257208458919214,703.1605047193865,69.38211266760113
0.11,3.33486,0.005,0.654090909,0.340909091,0.003080511244507001,7.288110870681016,708.9087005159661,70.11028234718849
0.1,3.66835,0.005,0.62,0.375,0.003076581908634623,7.305747903594392,711.5300605953311,70.47106271581407
