temperature,C5H8(522),C5H8O(825)rs,CPT(563),O2(6),N2,H2(2),H2O(5),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C6H6(970),HO2(8),OH(4)
500,1.308625890919211e-10,6.249149088283984e-12,4999.999999999513,37499.999999999054,957500.0000000006,2.199548829290491e-16,2.7346391612915936e-10,7.293483272030073e-12,1.7565352761638e-15,4.6606865382282994e-18,3.213342197443353e-19,2.7654329531895482e-12,7.476764090310397e-19,1.0368094693274507e-13,9.517787507990835e-18,2.8631849650686313e-24,1.2588828839404285e-22,4.2768261659154155e-44,2.503821088806548e-10,7.925255626852793e-17
510,4.906247687119855e-10,2.2955500751233045e-11,4999.9999999983365,37499.99999999685,957500.0000000014,2.3520918559944156e-15,9.52853021277416e-10,5.516554291697165e-11,2.5814406696199512e-14,9.948381990515213e-17,4.500387675908895e-18,2.087972706475256e-11,1.2262730676280782e-17,8.378596537908162e-13,1.0225481117282081e-16,7.556770437094391e-23,1.6116029869957354e-21,7.285189387382949e-42,7.711375513932254e-10,2.729566762147915e-16
520,2.016192320457911e-9,9.279535305538459e-11,4999.999999993728,37499.99999998842,957500.0000000028,2.501582429186745e-14,3.771325028539497e-9,4.2539873077036683e-10,3.837918435759358e-13,1.9400611539422373e-15,6.286736692524903e-17,1.6080040997927279e-10,1.810391155296876e-16,6.8002729779694356e-12,1.0716371671332179e-15,2.108053815878618e-21,2.1336931089039957e-20,1.1171578072940173e-39,2.515941856530926e-9,1.0680284019581802e-15
530,1.2318622980604777e-8,5.592815936053166e-10,4999.999999964813,37499.99999993707,957500.0000000115,3.555879484235516e-13,2.3321508944828437e-8,4.426427506531635e-9,7.562739357578565e-12,4.5783746233822653e-14,1.175305353607778e-15,1.6733728950116433e-9,3.2994804973353675e-15,7.379846459971212e-11,1.495834623106117e-14,1.1192311052095416e-19,3.9787817562139453e-19,2.9092732694473824e-37,1.1602024752695332e-8,6.530277552585456e-15
540,0.0052332917106414955,0.00023479878202528162,4999.986268833916,37499.976469493835,957500.0012675904,3.1189081348366604e-7,0.010423479309031583,0.002815297487382489,8.919242282225362e-6,5.174462094933604e-8,1.3297704819404855e-7,0.0010660634918536486,3.6996021178692285e-9,0.00004864678900488901,9.798237746978432e-9,1.7055773372777312e-8,2.333383582714334e-9,1.0824919669839682e-24,0.0030965043293057224,2.886268429478973e-9
550,0.1410792239144733,0.0062636459918312725,4999.66003686315,37499.44936305481,957499.9500681828,0.000015487213120088298,0.2955791239606252,0.09750687410994266,0.0005623296943362739,1.772963613114442e-6,0.00006893197836553752,0.03695796183812171,4.211834101257251e-7,0.001733445965146178,4.214401934767746e-7,5.946647942823391e-6,1.5593565870769013e-6,3.060303292481431e-20,0.03122557303383737,8.094830634746333e-8
560,4.251854709640728,0.18786940387511375,4990.511248760598,37485.26433020458,957496.8090953995,0.0008479129116634607,9.108071099307757,3.2880828050301822,0.033757304130554056,0.00004965829037905008,0.020655281376603423,1.2264081107854454,0.0002167495685522813,0.05884821168156815,0.00002766645942465317,0.0015460301613536343,0.0013107412425432563,2.482257450162377e-15,0.2043606804328951,2.468267015258081e-6
570,134.3623354216041,6.509215158594285,4680.992919146487,36996.609885773985,957360.5984092773,0.1486435971207149,330.9343646899632,129.47126303074265,2.6727088750284156,0.0034521011101896677,4.933893271901504,40.34465220848942,0.14791430311640288,1.9690894170957278,0.00707119097191576,0.36684932849472557,1.4195547851052366,1.0105980948495246e-9,1.2503730455251123,0.00009026728153964816
580,55.61113527101183,2.5038245555924217,4891.939658621491,37339.15678877122,957447.1595162714,0.03900439157163943,107.38163873573002,40.017389467296454,1.024124480444628,0.0016737205479960887,1.1738850449728084,14.01245382950045,0.025626026009496924,0.6917380570750281,0.0017829978771700722,0.09724188066236764,0.1954103586903736,3.620804307764115e-11,0.7722098168499805,0.000028570551199940867
590,3.5639549853789827,0.15157747944974434,4994.031076524303,37491.531683279994,957497.2577573836,0.0019776881805951643,5.259620645160947,1.8630673158549014,0.06709010611299913,0.00025753414666596113,0.014148675828018974,0.737633003662717,0.00012829312575173867,0.03577777006625913,0.00012652659086817892,0.0013986906710813122,0.0006874229839731356,8.654924970657602e-15,0.1781328237637955,1.3801459813339624e-6
600,1.4350342988684528,0.05982779827831558,4997.800078226987,37496.98828653833,957499.114032081,0.001015290596057518,1.6880371138576666,0.5774142283681409,0.02910548901884723,0.0002252719567649729,0.002396838798074095,0.2389719153913217,0.00002561851200076251,0.011395861415260175,0.00007931354469517398,0.00029670671182084135,0.00010191538222474844,7.625901228052468e-16,0.10204296011432482,4.383732793596014e-7
610,0.8936298137797066,0.0365070862680091,4998.731334610024,37498.32912034263,957499.5737836687,0.0007787602415537731,0.8201868651351752,0.2701153340101428,0.018269505565415175,0.0002503321997810595,0.0007197706676130716,0.11681328459559207,0.000012201678755291986,0.00545453489929469,0.0000731861162113527,0.00011405651476506764,0.00003658099307093646,2.398569471667426e-16,0.07144292429612033,2.1083271301956645e-7
620,0.6858947700422152,0.027400266982787528,4999.087921570671,37498.84586619177,957499.7536067688,0.0006942024159844342,0.4837899417655529,0.1527509300605291,0.013355581262045354,0.0002953876875089067,0.00028247972399977114,0.06927695270424963,8.553385078900872e-6,0.003167123895655217,0.0000795273102468494,0.000057538201666888264,0.000020197529803695154,1.4471831323902227e-16,0.05483556855264202,1.2311164342331745e-7
