temperature,C5H8(522),C5H8O(825),CPT(563),O2(6),N2,H2(2),H2O(5),CO(12),CO2(13),CH4(33),CH3CHO(41),C2H4(52),C3H6(131),C3H4O(165),C4H6(227),C4H8(253),C5H6(478),C6H6(970),HO2(8),OH(4)
500,1.6912992571722214e-10,4.9908160326649945e-12,4999.999999999649,37499.99999999935,957500.0000000001,2.513044825443364e-16,1.3430922399390651e-10,3.681206859625244e-12,1.6418985582826886e-15,3.095573968625135e-16,1.0601026453769576e-17,1.3606358096403162e-12,1.1707234442247656e-18,1.416461522143265e-13,4.760012372907792e-17,4.1007385726874296e-23,2.82130944957698e-17,1.0203672146187993e-43,2.545626726265517e-10,3.892414576163527e-17
600,0.000010269302442923032,1.2732038677177995e-7,4999.999989431655,37499.999988324795,957499.9999998083,5.661085704771551e-10,4.7288250389028145e-7,1.2200853333895637e-7,1.5191967477570795e-8,4.669194777316675e-9,9.01140236986444e-12,6.15159593778732e-8,4.8744392871616056e-12,5.3172700934040666e-9,3.681610576368669e-10,9.286129914532872e-14,1.8419162008659396e-11,4.3308891859895744e-29,1.8875652575085452e-6,1.2281292121367357e-13
700,0.3127363582127679,0.0020200642861303926,4999.680116676302,37499.683600921024,957499.9867046318,0.0011306924057676235,0.019256117527368017,0.0016538642224849822,0.00003753561347049797,0.0008005512934849583,2.2736808976755027e-7,0.004690514970064329,0.00032762573268519545,0.0018066661754012033,0.00004597869647672874,1.1915856218706095e-6,0.000045209525673896584,3.568928200493138e-15,0.008139271053899111,4.538508803622142e-9
800,774.7852066381407,43.056657566450994,3373.2131020428055,35633.90737817337,956163.3728542542,165.57128161193558,1669.8338891793005,466.82892836382206,110.82204311886892,100.3816283779445,4.946754259053863,440.5468572120755,49.65806433209658,116.34957287691559,5.9100578697507355,4.206250598668015,116.64728464110408,0.12388646050724512,2.909742246973126,0.00039073458526962183
900,133.59589901090536,7.643904071029827,519.2873716776766,24493.047658484724,945461.8684077009,2184.6038663095787,10443.24204075505,11371.343982509236,953.8398516043334,835.9606957030935,43.34141733367063,1950.6282876437988,184.8119175733245,233.39794760346913,15.09679631411262,33.01277956035837,117.3953039725291,40.135397507400725,5.0684296382780145,0.007077745728364083
1000,10.857365489586556,0.33333538936232926,86.44888979365084,14152.550523168724,942080.022554922,2679.9943467744624,18102.734918507278,15301.00055643797,5921.7802621450055,651.5881703713488,10.49489680053922,641.4224756778068,40.318400572681604,29.585709210537427,4.534547918360096,5.4474763753056665,19.646248199205722,27.81098242394127,5.392296521056644,0.03747414652634178
1100,,,,,,,,,,,,,,,,,,,,
