name,mult,charge,chi,smi
S(138),2,0,"InChI=1S/C5H7O2/c1-2-3-4-5-7-6/h1,3,6H,4-5H2",OOCC[CH]C#C
S(189),2,0,"InChI=1S/C5H7O2/c6-4-2-1-3-5(4)7/h2,5,7H,1,3H2",OC1CCC=C1[O]
S(312),2,0,"InChI=1S/C5H7O2/c6-4-2-1-3-5-7/h4H,1-3H2",O=CCCC[C]=O
S(341),2,0,"InChI=1S/C5H7O2/c6-4-2-1-3-5-7/h2,4-5H,1,3H2",O=CCC[CH]C=O
S(337),2,0,"InChI=1S/C5H7O2/c6-5-3-1-2-4-7-5/h4H,1-3H2",O=C1O[CH]CCC1
C5H7O2(34),2,0,"InChI=1S/C5H7O2/c6-7-5-3-1-2-4-5/h1,4,6H,2-3H2",OOC=1C[CH]CC=1
C5H6O(364),1,0,"InChI=1S/C5H6O/c6-5-2-3-1-4(3)5/h3-4H,1-2H2",O=C1C2CC2C1
C5H7O(95),2,0,"InChI=1S/C5H7O/c6-5-3-1-2-4-5/h3H,1-2,4H2",[O]C1=CCCC1
C5H7(108),2,0,"InChI=1S/C5H7/c1-5-3-2-4-5/h2H,1,3-4H2",C=C1C[CH]C1
S(379),2,0,"InChI=1S/C5H7O2/c1-4-2-5(3-4)7-6/h5H,1-3H2",[O]OC1CC(=C)C1
C5H7(378),2,0,"InChI=1S/C5H7/c1-5-2-4(5)3-5/h4H,1-3H2",[CH2]C12CC2C1
S(311),2,0,"InChI=1S/C5H7O2/c1-2-3-5(7)4-6/h4H,1-3H2",O=C(CC[CH2])C=O
S(401),2,0,"InChI=1S/C5H7O2/c1-2-3-5(7)4-6/h2-3H2,1H3",O=C(CCC)[C]=O
S(395),2,0,"InChI=1S/C5H7O2/c6-5-2-1-3-7-4-5/h4H,1-3H2",[O]C=1CCCOC=1
S(316),2,0,"InChI=1S/C5H7O2/c1-2-3-5(7)4-6/h2,5,7H,1,3H2",OC(CC=C)[C]=O
S(313),1,0,InChI=1S/C5H6O2/c6-4-2-1-3-5(4)7/h1-3H2,O=C1CCCC1=O
C5H7(387),2,0,"InChI=1S/C5H7/c1-4-3-5(4)2/h4H,1-3H2",[CH2]C1CC1=C
C5H7(64),2,0,"InChI=1S/C5H7/c1-3-5-4-2/h3H,1-2,5H2",C=CC[C]=C
C5H6O(325),1,0,"InChI=1S/C5H6O/c1-2-3-4-5-6/h3,5H,1,4H2",O=CCC=C=C
C#CCO(255),1,0,"InChI=1S/C3H4O/c1-2-3-4/h1,4H,3H2",OCC#C
C5H7O2(27),2,0,"InChI=1S/C5H7O2/c1-2-5-3-4(1)6-7-5/h1,4-5H,2-3H2",O1OC2CC1C[CH]2
S(190),1,0,"InChI=1S/C5H8O2/c6-4-2-1-3-5(4)7/h4,6H,1-3H2",OC1CCCC1=O
S(408),2,0,"InChI=1S/C5H7O2/c1-2-3-5(7)4-6/h7H,1-3H2",OC(CC[CH2])=C=O
C3H3O(262),2,0,"InChI=1S/C3H3O/c1-2-3-4/h3H,1H2",[O]C=C=C
S(353),2,0,"InChI=1S/C5H7O2/c6-4-2-1-3-5-7/h1-2,4-6H,3H2",O[CH]C=CCC=O
C5H7(433),2,0,"InChI=1S/C5H7/c1-4-5(2)3/h4H,1-3H2",[CH2]C(=C)C=C
C5H8O(499),1,0,"InChI=1S/C5H8O/c1-3-5(2)4-6/h3,6H,1-2,4H2",OCC(C=C)=C
C5H8(498),1,0,"InChI=1S/C5H8/c1-4-5(2)3/h4H,1-2H2,3H3",CC(=C)C=C
S(497),2,0,"InChI=1S/C5H7O2/c1-3-5(2)4-7-6/h3H,1-2,4H2",[O]OCC(=C)C=C
C5H7(493),2,0,"InChI=1S/C5H7/c1-2-5-3-4-5/h2H,1,3-4H2",[CH2]C=C1CC1
S(336),1,0,"InChI=1S/C5H8O2/c6-4-2-1-3-5(4)7/h2,5-7H,1,3H2",OC1CCC=C1O
S(462),2,0,"InChI=1S/C5H7O2/c1-2-5-3-4-6-7-5/h2,4-5H,1,3H2",C=CC1C[CH]OO1
S(552),2,0,"InChI=1S/C5H7O2/c1-2-5(7)3-4-6/h2,4-5H,1,3H2",[O]C(CC=O)C=C
C2H3O(348),2,0,"InChI=1S/C2H3O/c1-2-3/h2H,1H2",O=C[CH2]
C3H4O(267),1,0,"InChI=1S/C3H4O/c1-2-3-4/h2-3H,1H2",O=CC=C
C5H6O(136),1,0,"InChI=1S/C5H6O/c1-2-3-4-5-6/h1,5H,3-4H2",O=CCCC#C
S(576),1,0,"InChI=1S/C2H4O2/c1-2-4-3/h2-3H,1H2",OOC=C
S(575),1,0,"InChI=1S/C2H4O2/c3-1-2-4/h1,4H,2H2",OCC=O
C2H4O(573),1,0,"InChI=1S/C2H4O/c1-2-3/h2H,1H3",O=CC
C2H3O(571),2,0,InChI=1S/C2H3O/c1-2-3/h1H3,O=[C]C
OO(103),1,0,InChI=1S/H2O2/c1-2/h1-2H,OO
C5H7(40),2,0,"InChI=1S/C5H7/c1-3-5-4-2/h1,5H,4H2,2H3",CCC=C=[CH]
S(676),2,0,"InChI=1S/C5H7O2/c1-2-3-4-5-7-6/h3,5H,2H2,1H3",[O]OC=C=CCC
S(675),2,0,"InChI=1S/C5H7O2/c1-3-5(4-2)7-6/h1,5H,4H2,2H3",[O]OC(CC)C#C
C5H7(62),2,0,"InChI=1S/C5H7/c1-3-5-4-2/h4-5H,1H2,2H3",CC=C[C]=C
S(135),2,0,"InChI=1S/C5H7O2/c1-5-3-2-4-6-7-5/h1H,2-4H2",[CH]=C1CCCOO1
S(703),2,0,"InChI=1S/C5H7O2/c1-5-3-2-4-6-7-5/h2H,1,3-4H2",C=C1OOC[CH]C1
S(708),2,0,"InChI=1S/C5H7O2/c1-5-2-4(5)3-6-7-5/h4H,1-3H2",[CH2]C12C(COO2)C1
S(711),2,0,"InChI=1S/C5H7O2/c1-4-3-6-7-5(4)2/h4H,1-3H2",[CH2]C1COOC1=C
C5H8O(91),1,0,"InChI=1S/C5H8O/c1-2-3-4-5-6/h1,6H,3-5H2",OCCCC#C
S(706),2,0,"InChI=1S/C5H7O2/c1-4-2-5(1)7-6-3-4/h4H,1-3H2",O1O[C]2CC(C2)C1
S(716),2,0,"InChI=1S/C5H7O2/c1-2-5-4(1)3-6-7-5/h4H,1-3H2",O1O[C]2C(CC2)C1
S(737),2,0,"InChI=1S/C5H7O2/c6-3-4-1-2-5(4)7/h4H,1-3H2",[O]CC1CCC1=O
C4H5O(749),2,0,"InChI=1S/C4H5O/c5-4-2-1-3-4/h2H,1,3H2",[O]C1=CCC1
CH2O(748),1,0,InChI=1S/CH2O/c1-2/h1H2,O=C
C5H6(36),1,0,"InChI=1S/C5H6/c1-3-5-4-2/h1,4H,2,5H2",C=CCC#C
S(766),1,0,"InChI=1S/C4H6O2/c5-6-4-2-1-3-4/h2,5H,1,3H2",OOC1=CCC1
