name,mult,charge,chi,orig_name,orig_chi,orig_smi
C5H7O2(42),2,0,"AMChI=1/C5H7O2/c1-2-3-4-5-7-6/h1H,3-5H2",C5H7O2(42),"InChI=1S/C5H7O2/c1-2-3-4-5-7-6/h1H,3-5H2",[O]OCCCC#C
C5H7(53)r0,2,0,"AMChI=1/C5H7/c1-5-3-2-4-5/h2-3,5H,1,4H2/t5-/m0/s1",C5H7(53),"InChI=1S/C5H7/c1-5-3-2-4-5/h2-3,5H,1,4H2",[CH2]C1CC=C1
C5H7(53)r1,2,0,"AMChI=1/C5H7/c1-5-3-2-4-5/h2-3,5H,1,4H2/t5-/m1/s1",C5H7(53),"InChI=1S/C5H7/c1-5-3-2-4-5/h2-3,5H,1,4H2",[CH2]C1CC=C1
C5H7O2(65)z,2,0,"AMChI=1/C5H7O2/c1-2-3-4-5-7-6/h2-4H,1,5H2/b4-3-",C5H7O2(65),"InChI=1S/C5H7O2/c1-2-3-4-5-7-6/h2-4H,1,5H2",[O]OCC=CC=C
C5H7O2(65)e,2,0,"AMChI=1/C5H7O2/c1-2-3-4-5-7-6/h2-4H,1,5H2/b4-3+",C5H7O2(65),"InChI=1S/C5H7O2/c1-2-3-4-5-7-6/h2-4H,1,5H2",[O]OCC=CC=C
C5H8(43),1,0,"AMChI=1/C5H8/c1-2-4-5-3-1/h1-2H,3-5H2",C5H8(43),"InChI=1S/C5H8/c1-2-4-5-3-1/h1-2H,3-5H2",C1CC=CC1
C5H9O(159)r0,2,0,"AMChI=1/C5H9O/c6-5-1-2-3-4-5/h1,5-6H,2-4H2/t5-/m0/s1",C5H9O(159),"InChI=1S/C5H9O/c6-5-3-1-2-4-5/h3,5-6H,1-2,4H2",OC1CCC[CH]1
C5H9O(159)r1,2,0,"AMChI=1/C5H9O/c6-5-1-2-3-4-5/h1,5-6H,2-4H2/t5-/m1/s1",C5H9O(159),"InChI=1S/C5H9O/c6-5-3-1-2-4-5/h3,5-6H,1-2,4H2",OC1CCC[CH]1
C5H8O(148)r0,1,0,"AMChI=1/C5H8O/c6-4-5-2-1-3-5/h1-2,5-6H,3-4H2/t5-/m0/s1",C5H8O(148),"InChI=1S/C5H8O/c6-4-5-2-1-3-5/h1-2,5-6H,3-4H2",OCC1CC=C1
C5H8O(148)r1,1,0,"AMChI=1/C5H8O/c6-4-5-2-1-3-5/h1-2,5-6H,3-4H2/t5-/m1/s1",C5H8O(148),"InChI=1S/C5H8O/c6-4-5-2-1-3-5/h1-2,5-6H,3-4H2",OCC1CC=C1
S(106)r0,2,0,"AMChI=1/C5H7O2/c6-4-3-2-1-5(4)7/h1,5,7H,2-3H2/t5-/m0/s1",S(106),"InChI=1S/C5H7O2/c6-4-2-1-3-5(4)7/h2,4,6H,1,3H2",OC1C(=O)CC[CH]1
S(106)r1,2,0,"AMChI=1/C5H7O2/c6-4-3-2-1-5(4)7/h1,5,7H,2-3H2/t5-/m1/s1",S(106),"InChI=1S/C5H7O2/c6-4-2-1-3-5(4)7/h2,4,6H,1,3H2",OC1C(=O)CC[CH]1
C5H8O(102)z,1,0,"AMChI=1/C5H8O/c1-2-5-3-4-6/h2-4,6H,1,5H2/b4-3-",C5H8O(102),"InChI=1S/C5H8O/c1-2-3-4-5-6/h2,4-6H,1,3H2",OC=CCC=C
C5H8O(102)e,1,0,"AMChI=1/C5H8O/c1-2-5-3-4-6/h2-4,6H,1,5H2/b4-3+",C5H8O(102),"InChI=1S/C5H8O/c1-2-3-4-5-6/h2,4-6H,1,3H2",OC=CCC=C
C5H8O(101),1,0,"AMChI=1/C5H8O/c1-3-5(6)4-2/h3-6H,1-2H2",C5H8O(101),"InChI=1S/C5H8O/c1-3-5(6)4-2/h3-6H,1-2H2",OC(C=C)C=C
C5H8O(100)z,1,0,"AMChI=1/C5H8O/c1-2-3-4-5-6/h2-4,6H,1,5H2/b4-3-",C5H8O(100),"InChI=1S/C5H8O/c1-2-3-4-5-6/h2-4,6H,1,5H2",OCC=CC=C
C5H8O(100)e,1,0,"AMChI=1/C5H8O/c1-2-3-4-5-6/h2-4,6H,1,5H2/b4-3+",C5H8O(100),"InChI=1S/C5H8O/c1-2-3-4-5-6/h2-4,6H,1,5H2",OCC=CC=C
C5H8O(99)rrs0,1,0,"AMChI=1/C5H8O/c6-5-2-3-1-4(3)5/h3-6H,1-2H2/t3-,4-,5+/m0/s1",C5H8O(99),"InChI=1S/C5H8O/c6-5-2-3-1-4(3)5/h3-6H,1-2H2",OC1CC2C1C2
C5H8O(99)rsr0,1,0,"AMChI=1/C5H8O/c6-5-2-3-1-4(3)5/h3-6H,1-2H2/t3-,4+,5-/m0/s1",C5H8O(99),"InChI=1S/C5H8O/c6-5-2-3-1-4(3)5/h3-6H,1-2H2",OC1CC2C1C2
C5H8O(99)rss0,1,0,"AMChI=1/C5H8O/c6-5-2-3-1-4(3)5/h3-6H,1-2H2/t3-,4+,5+/m0/s1",C5H8O(99),"InChI=1S/C5H8O/c6-5-2-3-1-4(3)5/h3-6H,1-2H2",OC1CC2C1C2
C5H8O(99)rss1,1,0,"AMChI=1/C5H8O/c6-5-2-3-1-4(3)5/h3-6H,1-2H2/t3-,4+,5+/m1/s1",C5H8O(99),"InChI=1S/C5H8O/c6-5-2-3-1-4(3)5/h3-6H,1-2H2",OC1CC2C1C2
