name,mult,charge,chi,smi
C5H8O(94),1,0,InChI=1S/C5H8O/c1-5-3-2-4-6-5/h1-4H2,C=C1OCCC1
C5H8O(93),1,0,"InChI=1S/C5H8O/c6-5-3-1-2-4-5/h1,3,5-6H,2,4H2",OC1CCC=C1
HO2(77),2,0,InChI=1S/HO2/c1-2/h1H,O[O]
C5H7O3(84),2,0,"InChI=1S/C5H7O3/c6-8-5-2-3-1-4(5)7-3/h3,5-6H,1-2H2",OOC1CC2O[C]1C2
C5H7O(67),2,0,"InChI=1S/C5H7O/c1-2-5-3-4-6-5/h3-4H,2H2,1H3",CCC=1O[CH]C=1
C5H7O(21),2,0,"InChI=1S/C5H7O/c1-2-3-4-5-6/h2H,1,3-4H2",O=[C]CCC=C
C5H6O(24),1,0,"InChI=1S/C5H6O/c6-5-3-1-2-4-5/h1,3H,2,4H2",O=C1C=CCC1
C5H7O(28),2,0,"InChI=1S/C5H7O/c1-2-3-4-5-6/h3-5H,1-2H2",O=CC=CC[CH2]
C5H7O(37),2,0,"InChI=1S/C5H7O/c1-2-3-4-5-6/h5H,1,3-4H2",O=CCC[C]=C
S(379),2,0,"InChI=1S/C5H7O3/c6-4-2-1-3-5-8-7/h1-2,4H,3,5H2",O=CC=CCCO[O]
C5H7O(374),2,0,"InChI=1S/C5H7O/c6-4-3-5-1-2-5/h3-5H,1-2H2",O=C[CH]C1CC1
C5H7O(34),2,0,"InChI=1S/C5H7O/c6-5-3-1-2-4-5/h4-6H,1,3H2",OC1CC[C]=C1
C5H7O(49),2,0,"InChI=1S/C5H7O/c1-2-3-4-5-6/h2,4-5H,1,3H2",[O]C=CCC=C
C5H7O(44),2,0,"InChI=1S/C5H7O/c1-2-3-4-5-6/h2-3,5H,1,4H2",O=CCC=C[CH2]
C5H7O(29),2,0,"InChI=1S/C5H7O/c1-2-3-4-5-6/h1-2,5H,3-4H2",O=CCCC=[CH]
C5H7O(50),2,0,"InChI=1S/C5H7O/c1-3-5-6-4-2/h3-5H,1-2H2",C=C[CH]OC=C
S(427),2,0,"InChI=1S/C5H7O3/c1-2-3-5(4-6)8-7/h2,4-5H,1,3H2",O=CC(O[O])CC=C
S(439),2,0,"InChI=1S/C5H7O3/c1-2-5(8-7)3-4-6/h2,4-5H,1,3H2",O=CCC(O[O])C=C
C5H7O(36),2,0,"InChI=1S/C5H7O/c1-4-6-5(2)3/h4H,1-3H2",C=C(OC=C)[CH2]
