eq,rate
O2(4) + C3H5(70) = S(281),"SimpleRate(k=ArrheniusFunction(A=14528880.0, b=1.598, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(281) = HO(21) + C3H4O(267),"SimpleRate(k=ArrheniusFunction(A=33200000.0, b=1.69, E=38.1, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + S(312) = S(343),"SimpleRate(k=ArrheniusFunction(A=9.10287e+19, b=-2.744, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + S(341) = S(343),"SimpleRate(k=ArrheniusFunction(A=17663700000000.0, b=0.153, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C2H3O(348) + C3H5O(340) = S(343),"SimpleRate(k=ArrheniusFunction(A=3.18795e+16, b=-1.177, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + C5H7O(210) = C5H8O(101),"SimpleRate(k=ArrheniusFunction(A=8.15666e+18, b=-1.493, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(210) = C5H7O(98),"SimpleRate(k=ArrheniusFunction(A=1242490000.0, b=0.717, E=0.072, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C#C(69) + C3H5O(193) = C5H7O(210),"SimpleRate(k=ArrheniusFunction(A=2046.0, b=2.607, E=15.619, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(252) = S(288),"SimpleRate(k=ArrheniusFunction(A=3026730.0, b=1.409, E=20.06, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(251) = S(288),"SimpleRate(k=ArrheniusFunction(A=3026730.0, b=1.409, E=22.312, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(820) = S(357),"SimpleRate(k=ArrheniusFunction(A=4801350.0, b=1.373, E=14.046, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(357) = S(819),"SimpleRate(k=ArrheniusFunction(A=3067592.0, b=1.915, E=28.498, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(820) = S(819),"SimpleRate(k=ArrheniusFunction(A=74200.0, b=2.23, E=10.59, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(819) = S(1418),"SimpleRate(k=ArrheniusFunction(A=2.29992e-11, b=6.414, E=5.656, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C2H3O(348) + S(1288) = S(819),"SimpleRate(k=ArrheniusFunction(A=420370000.0, b=1.037, E=7.48, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(260) = HO2(18) + C2H4(37),"SimpleRate(k=ArrheniusFunction(A=46800000.0, b=1.69, E=29.8, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(260) = O2(4) + C2H5(112),"SimpleRate(k=ArrheniusFunction(A=9.49e+21, b=-2.41, E=35.8, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(260) = HO(21) + C2H4O(573),"SimpleRate(k=ArrheniusFunction(A=666000000.0, b=1.28, E=39.74, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + C5H6O(22) = C5H7O(94),"SimpleRate(k=ArrheniusFunction(A=39700000.0, b=1.88, E=7.7, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + C5H7O(94) = C5H8O(89),"SimpleRate(k=ArrheniusFunction(A=2612150000000.0, b=0.326, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
HO(21) + C5H7O(94) = C5H8O2(44),"SimpleRate(k=ArrheniusFunction(A=20000000000000.0, b=0.0, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(94) = C5H7O(97),"SimpleRate(k=ArrheniusFunction(A=657459.0, b=1.872, E=24.518, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(94) = C5H7O(98),"SimpleRate(k=ArrheniusFunction(A=9510970.0, b=1.685, E=31.033, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
HO(21) + C5H6O(958) = S(944),"SimpleRate(k=ArrheniusFunction(A=1413250.0, b=1.92, E=0.858, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + C5H6O(958) = C5H7O(98),"SimpleRate(k=ArrheniusFunction(A=89237790.0, b=1.663, E=2.246, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(1463) = C5H7O(94),"SimpleRate(k=ArrheniusFunction(A=0.234039, b=3.387, E=15.186, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(1463) = S(1470),"SimpleRate(k=ArrheniusFunction(A=1.06161e+19, b=-1.866, E=9.028, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C3H3O(262) = C3H3O(471),"SimpleRate(k=ArrheniusFunction(A=5605000000000.0, b=0.275, E=27.704, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
HO(21) + C3H4O(256) = S(277),"SimpleRate(k=ArrheniusFunction(A=986500.0, b=2.037, E=-1.433, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
HO(21) + C#CCO(255) = S(277),"SimpleRate(k=ArrheniusFunction(A=65080000.0, b=1.628, E=-0.462, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + S(277) = S(1313),"SimpleRate(k=ArrheniusFunction(A=1.52804e+55, b=-12.789, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(376) = C5H7O(95),"SimpleRate(k=ArrheniusFunction(A=200815.0, b=1.582, E=8.837, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(376) = C5H7O(836),"SimpleRate(k=ArrheniusFunction(A=12838.4, b=2.123, E=9.939, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(316) = S(421),"SimpleRate(k=ArrheniusFunction(A=4910500.0, b=1.4, E=16.146, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(315) = S(188),"SimpleRate(k=ArrheniusFunction(A=6139.0, b=2.034, E=20.55, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(315) = S(1124),"SimpleRate(k=ArrheniusFunction(A=4910500.0, b=1.4, E=24.157, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + S(315) = S(1557),"SimpleRate(k=ArrheniusFunction(A=91749900000000.0, b=0.115, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + S(185) = S(106),"SimpleRate(k=ArrheniusFunction(A=89237790.0, b=1.663, E=2.246, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
CHO(446) + C4H6O(491) = S(353),"SimpleRate(k=ArrheniusFunction(A=26711.71, b=2.459, E=1.176, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(335) = S(189),"SimpleRate(k=ArrheniusFunction(A=45023.2, b=1.743, E=8.108, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(335) = S(421),"SimpleRate(k=ArrheniusFunction(A=12838.4, b=2.123, E=9.939, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + C3H4O(256) = C3H5O(275),"SimpleRate(k=ArrheniusFunction(A=1733000000.0, b=1.473, E=1.273, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
HO(21) + C#CC(253) = C3H5O(275),"SimpleRate(k=ArrheniusFunction(A=65080000.0, b=1.628, E=-0.462, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C3H5O(193) = C3H5O(275),"SimpleRate(k=ArrheniusFunction(A=163000000.0, b=1.73, E=49.649, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + C3H5O(193) = S(1311),"SimpleRate(k=ArrheniusFunction(A=16259800000000.0, b=0.255, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + C3H5O(275) = S(1311),"SimpleRate(k=ArrheniusFunction(A=1.52804e+55, b=-12.789, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C4H7(1166) = C4H7(1156),"SimpleRate(k=ArrheniusFunction(A=111300.0, b=2.23, E=10.59, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C#C(69) + C2H5(112) = C4H7(1166),"SimpleRate(k=ArrheniusFunction(A=13600.0, b=2.41, E=6.2, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(351) = S(341),"SimpleRate(k=ArrheniusFunction(A=4965190000.0, b=1.058, E=38.905, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(353) = S(351),"SimpleRate(k=ArrheniusFunction(A=39600000000.0, b=0.83, E=61.6, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(351) = S(183),"SimpleRate(k=ArrheniusFunction(A=136000.0, b=1.92, E=7.897, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + C3H4O(256) = C3H5O(274),"SimpleRate(k=ArrheniusFunction(A=169619100.0, b=1.605, E=2.97, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
HO(21) + C3H4(254) = C3H5O(274),"SimpleRate(k=ArrheniusFunction(A=1973000.0, b=2.037, E=-1.433, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + C#CCO(255) = C3H5O(274),"SimpleRate(k=ArrheniusFunction(A=125500000000.0, b=1.005, E=3.143, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C3H5O(274) = C3H5O(193),"SimpleRate(k=ArrheniusFunction(A=18909760000.0, b=0.988, E=33.307, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + C3H5O(274) = S(1218),"SimpleRate(k=ArrheniusFunction(A=9.28426e+23, b=-3.05, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
O2(4) + C5H7(62) = S(696),"SimpleRate(k=ArrheniusFunction(A=121694800000000.0, b=-0.429, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
O2(4) + C5H7(62) = S(695),"SimpleRate(k=ArrheniusFunction(A=121694800000000.0, b=-0.429, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(695) = S(1648),"SimpleRate(k=ArrheniusFunction(A=3365390000.0, b=0.841, E=15.55, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(696) = S(1643),"SimpleRate(k=ArrheniusFunction(A=7713.65, b=2.167, E=7.884, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(695) = S(1643),"SimpleRate(k=ArrheniusFunction(A=7713.65, b=2.167, E=12.557, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(1643) = S(1658),"SimpleRate(k=ArrheniusFunction(A=3473000000000.0, b=0.247, E=23.426, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(354) = S(341),"SimpleRate(k=ArrheniusFunction(A=582625.3, b=1.691, E=21.919, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(353) = S(354),"SimpleRate(k=ArrheniusFunction(A=116900000000.0, b=0.707, E=27.741, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(183) = S(354),"SimpleRate(k=ArrheniusFunction(A=791180.1, b=2.193, E=37.494, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(351) = S(354),"SimpleRate(k=ArrheniusFunction(A=74200.0, b=2.23, E=10.59, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(354) = S(1684),"SimpleRate(k=ArrheniusFunction(A=3.41068e+22, b=-2.688, E=26.643, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(329) = S(189),"SimpleRate(k=ArrheniusFunction(A=0.234039, b=3.387, E=3.293, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(329) = S(189),"SimpleRate(k=ArrheniusFunction(A=120463000.0, b=1.061, E=9.155, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(329) = S(1697),"SimpleRate(k=ArrheniusFunction(A=13571600000000.0, b=-0.081, E=13.304, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C2H4(37) + S(1260) = S(899),"SimpleRate(k=ArrheniusFunction(A=2226.087, b=2.533, E=5.301, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C2H5(112) + S(1260) = S(1717),"SimpleRate(k=ArrheniusFunction(A=63052600000000.0, b=-0.283, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + S(1260) = S(1716),"SimpleRate(k=ArrheniusFunction(A=16259800000000.0, b=0.255, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
HO(21) + C2H5O(259) = OCCO(840),"SimpleRate(k=ArrheniusFunction(A=77000000000000.0, b=0.0, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(1160) = S(825),"SimpleRate(k=ArrheniusFunction(A=7546000000.0, b=0.732, E=6.008, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(1160) = S(104),"SimpleRate(k=ArrheniusFunction(A=0.234039, b=3.387, E=14.998, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + C5H7O(233) = C5H8O(90),"SimpleRate(k=ArrheniusFunction(A=2612150000000.0, b=0.326, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
HO(21) + C5H7O(233) = C5H8O2(45),"SimpleRate(k=ArrheniusFunction(A=20000000000000.0, b=0.0, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(233) = C5H7O(97),"SimpleRate(k=ArrheniusFunction(A=0.0003065008, b=4.914, E=26.341, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + C5H6O(325) = C5H7O(455),"SimpleRate(k=ArrheniusFunction(A=546000000.0, b=1.64, E=3.78, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(833) = C5H7O(455),"SimpleRate(k=ArrheniusFunction(A=12971140.0, b=1.523, E=29.767, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(455) = C5H7O(233),"SimpleRate(k=ArrheniusFunction(A=0.234039, b=3.387, E=21.46, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + S(552) = S(569),"SimpleRate(k=ArrheniusFunction(A=2805150000000.0, b=0.315, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C2H3O(348) + C3H5O(193) = S(569),"SimpleRate(k=ArrheniusFunction(A=63052600000000.0, b=-0.283, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
HO(21) + C5H7O(455) = S(569),"SimpleRate(k=ArrheniusFunction(A=77000000000000.0, b=0.0, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + C5H7O(191) = C5H8O(102),"SimpleRate(k=ArrheniusFunction(A=2805150000000.0, b=0.315, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(833) = C5H7O(191),"SimpleRate(k=ArrheniusFunction(A=791180.1, b=2.193, E=37.494, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(455) = C5H7O(191),"SimpleRate(k=ArrheniusFunction(A=116900000000.0, b=0.707, E=27.741, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + C4H6(1163) = C4H7(1156),"SimpleRate(k=ArrheniusFunction(A=324000000.0, b=1.64, E=2.4, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
CHO(446) + C4H6(1163) = C5H7O(455),"SimpleRate(k=ArrheniusFunction(A=53423.41, b=2.459, E=1.176, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
CHO(446) + C4H6O(915) = S(400),"SimpleRate(k=ArrheniusFunction(A=423770.2, b=2.133, E=7.883, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + C5H6O(22) = C5H7O(93),"SimpleRate(k=ArrheniusFunction(A=6390000.0, b=2.09, E=6.1, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + C5H7O(93) = C5H8O(89),"SimpleRate(k=ArrheniusFunction(A=15764300000000.0, b=-0.222, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + C5H7O(93) = C5H8O(88),"SimpleRate(k=ArrheniusFunction(A=15764300000000.0, b=-0.222, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(95) = C5H7O(93),"SimpleRate(k=ArrheniusFunction(A=210713100.0, b=0.89, E=63.59, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
HO(21) + C5H7O(93) = S(954),"SimpleRate(k=ArrheniusFunction(A=77000000000000.0, b=0.0, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(97) = C5H7O(93),"SimpleRate(k=ArrheniusFunction(A=3797722000.0, b=0.97, E=36.075, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(98) = C5H7O(93),"SimpleRate(k=ArrheniusFunction(A=270522600.0, b=1.416, E=35.406, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H7O(94) = C5H7O(93),"SimpleRate(k=ArrheniusFunction(A=1524876000.0, b=1.217, E=38.856, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + C5H6O(958) = C5H7O(93),"SimpleRate(k=ArrheniusFunction(A=25219320.0, b=1.792, E=0.119, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + S(1198) = S(244),"SimpleRate(k=ArrheniusFunction(A=8892000000.0, b=1.073, E=2.175, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + S(104) = S(1198),"SimpleRate(k=ArrheniusFunction(A=2612150000000.0, b=0.326, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
HO(21) + C5H7O(93) = S(1198),"SimpleRate(k=ArrheniusFunction(A=77000000000000.0, b=0.0, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
HO(21) + C3H4O(256) = S(278),"SimpleRate(k=ArrheniusFunction(A=41610.0, b=2.487, E=-1.81, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + S(477) = S(278),"SimpleRate(k=ArrheniusFunction(A=373000.0, b=2.53, E=5.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
HO(21) + C3H5O(274) = S(1629),"SimpleRate(k=ArrheniusFunction(A=77000000000000.0, b=0.0, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + S(278) = S(1629),"SimpleRate(k=ArrheniusFunction(A=16259800000000.0, b=0.255, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
HO(21) + C3H5O(275) = S(1588),"SimpleRate(k=ArrheniusFunction(A=77000000000000.0, b=0.0, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + S(278) = S(1588),"SimpleRate(k=ArrheniusFunction(A=16259800000000.0, b=0.255, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H9O(162) = C5H9O(159),"SimpleRate(k=ArrheniusFunction(A=7713.65, b=2.167, E=16.451, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + C5H8O(102) = C5H9O(162),"SimpleRate(k=ArrheniusFunction(A=301000000.0, b=1.6, E=2.4, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C2H4(37) + C3H5O(193) = C5H9O(162),"SimpleRate(k=ArrheniusFunction(A=1350.0, b=2.7, E=11.3, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H9O(162) = S(1777),"SimpleRate(k=ArrheniusFunction(A=1127750000.0, b=0.806, E=19.54, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(1779) = C5H9O(162),"SimpleRate(k=ArrheniusFunction(A=408000.0, b=1.92, E=7.897, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + C5H8O(102) = C5H9O(202),"SimpleRate(k=ArrheniusFunction(A=336000000.0, b=1.56, E=0.6, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H9O(162) = C5H9O(202),"SimpleRate(k=ArrheniusFunction(A=718000.0, b=2.05, E=36.3, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(1779) = C5H9O(202),"SimpleRate(k=ArrheniusFunction(A=74200.0, b=2.23, E=10.59, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H9O(202) = S(1789),"SimpleRate(k=ArrheniusFunction(A=3.41068e+22, b=-2.688, E=16.979, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
S(1792) = S(1789),"SimpleRate(k=ArrheniusFunction(A=1.06161e+19, b=-1.866, E=17.927, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
HO(21) + C3H4O(256) = S(276),"SimpleRate(k=ArrheniusFunction(A=986500.0, b=2.037, E=-1.433, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + S(276) = S(1312),"SimpleRate(k=ArrheniusFunction(A=9.28426e+23, b=-3.05, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H9O(159) = C5H9O(164),"SimpleRate(k=ArrheniusFunction(A=72500000000.0, b=0.6, E=36.9, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + C5H8O(88) = C5H9O(164),"SimpleRate(k=ArrheniusFunction(A=949092400.0, b=1.344, E=2.245, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H9O(165) = C5H9O(164),"SimpleRate(k=ArrheniusFunction(A=7669944000.0, b=0.769, E=40.287, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
C5H9O(166) = C5H9O(164),"SimpleRate(k=ArrheniusFunction(A=937664400.0, b=1.11, E=35.833, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
H(8) + S(244) = S(1201),"SimpleRate(k=ArrheniusFunction(A=1953380000000.0, b=0.347, E=0.0, B=0.0, C=0.0), k0=None, f=None, is_rev=True, type_=<RateType.CONSTANT: 'Constant'>)"
