'name','smiles','inchi','inchikey','mult','charge','canon_enant_ich'
'O2(6)','O=O','InChI=1S/O2/c1-2','MYMOFIZGZYHOMD-UHFFFAOYSA-N','3','0','InChI=1S/O2/c1-2'
'HO2(8)','[O]O','InChI=1S/HO2/c1-2/h1H','OUUQCZGPVNCOIJ-UHFFFAOYSA-N','2','0','InChI=1S/HO2/c1-2/h1H'
'C5H8(522)','C1=CCCC1','InChI=1S/C5H8/c1-2-4-5-3-1/h1-2H,3-5H2','LPIQUOYDBNQMRZ-UHFFFAOYSA-N','1','0','InChI=1S/C5H8/c1-2-4-5-3-1/h1-2H,3-5H2'
'C5H9(553)','[CH]1CCCC1','InChI=1S/C5H9/c1-2-4-5-3-1/h1H,2-5H2','BQOWUDKEXDCGQS-UHFFFAOYSA-N','2','0','InChI=1S/C5H9/c1-2-4-5-3-1/h1H,2-5H2'
'S(719)','[O]OC1CCCC1','InChI=1S/C5H9O2/c6-7-5-3-1-2-4-5/h5H,1-4H2','AOMVQJUSGWRGKI-UHFFFAOYSA-N','2','0','InChI=1S/C5H9O2/c6-7-5-3-1-2-4-5/h5H,1-4H2'
