'name','smiles','inchi','inchikey','mult','charge','canon_enant_ich'
'O2(6)','O=O','InChI=1S/O2/c1-2','MYMOFIZGZYHOMD-UHFFFAOYSA-N','3','0','InChI=1S/O2/c1-2'
'HO2(8)','[O]O','InChI=1S/HO2/c1-2/h1H','OUUQCZGPVNCOIJ-UHFFFAOYSA-N','2','0','InChI=1S/HO2/c1-2/h1H'
'C5O3ddrkjlrsr0','OO[C@H]1[CH]C[C@@H]2[C@H]1O2','InChI=1S/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h2-6H,1H2/t3-,4+,5-/m1/s1','MYCWWEXRJRRTRE-MROZADKFSA-N','2','0','InChI=1/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h2-6H,1H2/t3-,4+,5-/m0/s1'
'C5O3ddrkjlrsr1','OO[C@@H]1[CH]C[C@H]2[C@@H]1O2','InChI=1S/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h2-6H,1H2/t3-,4+,5-/m0/s1','MYCWWEXRJRRTRE-LMVFSUKVSA-N','2','0','InChI=1S/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h2-6H,1H2/t3-,4+,5-/m0/s1'
'C5O3ddrkjlrrs1','OO[C@@H]1[CH]C[C@@H]2[C@H]1O2','InChI=1S/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h2-6H,1H2/t3-,4-,5-/m1/s1','MYCWWEXRJRRTRE-UOWFLXDJSA-N','2','0','InChI=1/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h2-6H,1H2/t3-,4-,5-/m0/s1'
'S(1702)rr0','OO[C@H]1CC[C@H]2[C]1O2','InChI=1S/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h3-4,6H,1-2H2/t3-,4-/m0/s1','MHIIBJNBDJUDEM-IMJSIDKUSA-N','2','0','InChI=1S/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h3-4,6H,1-2H2/t3-,4-/m0/s1'
'S(1702)rs0','OO[C@@H]1CC[C@H]2[C]1O2','InChI=1S/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h3-4,6H,1-2H2/t3-,4+/m0/s1','MHIIBJNBDJUDEM-IUYQGCFVSA-N','2','0','InChI=1S/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h3-4,6H,1-2H2/t3-,4+/m0/s1'
'S(1702)rs1','OO[C@H]1CC[C@@H]2[C]1O2','InChI=1S/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h3-4,6H,1-2H2/t3-,4+/m1/s1','MHIIBJNBDJUDEM-DMTCNVIQSA-N','2','0','InChI=1/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h3-4,6H,1-2H2/t3-,4+/m0/s1'
'S(1702)rr1','OO[C@@H]1CC[C@@H]2[C]1O2','InChI=1S/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h3-4,6H,1-2H2/t3-,4-/m1/s1','MHIIBJNBDJUDEM-QWWZWVQMSA-N','2','0','InChI=1/C5H7O3/c6-8-4-2-1-3-5(4)7-3/h3-4,6H,1-2H2/t3-,4-/m0/s1'
'S(1700)rrs0','OO[C@H]1[CH][C@H]2[C@@H](C1)O2','InChI=1S/C5H7O3/c6-8-3-1-4-5(2-3)7-4/h1,3-6H,2H2/t3-,4-,5+/m0/s1','KAQAQDLIFRUGSD-VAYJURFESA-N','2','0','InChI=1S/C5H7O3/c6-8-3-1-4-5(2-3)7-4/h1,3-6H,2H2/t3-,4-,5+/m0/s1'
'S(1700)rsr0','OO[C@H]1[CH][C@@H]2[C@H](C1)O2','InChI=1S/C5H7O3/c6-8-3-1-4-5(2-3)7-4/h1,3-6H,2H2/t3-,4+,5-/m0/s1','KAQAQDLIFRUGSD-LMVFSUKVSA-N','2','0','InChI=1S/C5H7O3/c6-8-3-1-4-5(2-3)7-4/h1,3-6H,2H2/t3-,4+,5-/m0/s1'
'S(1700)rsr1','OO[C@@H]1[CH][C@H]2[C@@H](C1)O2','InChI=1S/C5H7O3/c6-8-3-1-4-5(2-3)7-4/h1,3-6H,2H2/t3-,4+,5-/m1/s1','KAQAQDLIFRUGSD-MROZADKFSA-N','2','0','InChI=1/C5H7O3/c6-8-3-1-4-5(2-3)7-4/h1,3-6H,2H2/t3-,4+,5-/m0/s1'
