'name','smiles','inchi','inchikey','mult','charge','canon_enant_ich'
'C5H9O(852)r0','O[C@H]1[CH]CCC1','InChI=1S/C5H9O/c6-5-3-1-2-4-5/h3,5-6H,1-2,4H2/t5-/m0/s1','ZOCQCVFDVWWLHS-YFKPBYRVSA-N','2','0','InChI=1S/C5H9O/c6-5-3-1-2-4-5/h3,5-6H,1-2,4H2/t5-/m0/s1'
'C5H9O(852)r1','O[C@@H]1[CH]CCC1','InChI=1S/C5H9O/c6-5-3-1-2-4-5/h3,5-6H,1-2,4H2/t5-/m1/s1','ZOCQCVFDVWWLHS-RXMQYKEDSA-N','2','0','InChI=1S/C5H9O/c6-5-3-1-2-4-5/h3,5-6H,1-2,4H2/t5-/m0/s1'
'C5H9O(878)r0','C=C[C@@H](C[CH2])O','InChI=1S/C5H9O/c1-3-5(6)4-2/h3,5-6H,1-2,4H2/t5-/m0/s1','PSJJOMBZPUEWHX-YFKPBYRVSA-N','2','0','InChI=1S/C5H9O/c1-3-5(6)4-2/h3,5-6H,1-2,4H2/t5-/m0/s1'
'C5H9O(878)r1','C=C[C@H](C[CH2])O','InChI=1S/C5H9O/c1-3-5(6)4-2/h3,5-6H,1-2,4H2/t5-/m1/s1','PSJJOMBZPUEWHX-RXMQYKEDSA-N','2','0','InChI=1S/C5H9O/c1-3-5(6)4-2/h3,5-6H,1-2,4H2/t5-/m0/s1'
'C5H9O(853)z','[CH2]CC/C=C\O','InChI=1S/C5H9O/c1-2-3-4-5-6/h4-6H,1-3H2/b5-4-','BTNOUMAKHPAMKD-PLNGDYQASA-N','2','0','InChI=1S/C5H9O/c1-2-3-4-5-6/h4-6H,1-3H2/b5-4-'
'C5H9O(853)e','[CH2]CC/C=C/O','InChI=1S/C5H9O/c1-2-3-4-5-6/h4-6H,1-3H2/b5-4+','BTNOUMAKHPAMKD-SNAWJCMRSA-N','2','0','InChI=1S/C5H9O/c1-2-3-4-5-6/h4-6H,1-3H2/b5-4+'
