REACTIONS    CAL/MOL   MOL

S(1210)r0 = C5Oqidgnvrs + OH(4)                         1.000      0.000      0.000         # pes.subpes.channel  53.1.1
S(1210)r0 = OH(4) + S(1288)rs0                          1.000      0.000      0.000         # pes.subpes.channel  54.1.1
S(602) = C5H6(478) + HO2(8)                             1.000      0.000      0.000         # pes.subpes.channel  55.1.1
C5H7(500) + O2(6) = S(1206)r0                           1.000      0.000      0.000         # pes.subpes.channel  56.1.1
C5H7(504) + O2(6) = S(602)                              1.000      0.000      0.000         # pes.subpes.channel  57.1.1
C5O2nexammeee = C5H6O(645)e + OH(4)                     1.000      0.000      0.000         # pes.subpes.channel  58.1.1
C5O2nexammeez = C5H6O(645)e + OH(4)                     1.000      0.000      0.000         # pes.subpes.channel  59.1.1
C5O2nexammeze = C5H6O(645)z + OH(4)                     1.000      0.000      0.000         # pes.subpes.channel  60.1.1
C5O2nexammezz = C5H6O(645)z + OH(4)                     1.000      0.000      0.000         # pes.subpes.channel  61.1.1
C5O2nexammzee = C5H6O(645)e + OH(4)                     1.000      0.000      0.000         # pes.subpes.channel  62.1.1
C5O2nexammzez = C5H6O(645)e + OH(4)                     1.000      0.000      0.000         # pes.subpes.channel  63.1.1
C5O2nexammzzz = C5H6O(645)z + OH(4)                     1.000      0.000      0.000         # pes.subpes.channel  64.1.1
C5O2pkpfsdzr0 = C2H2(40) + S(2258)e                     1.000      0.000      0.000         # pes.subpes.channel  65.1.1
C5O2pkpfsdzr0 = C2H2(40) + S(2258)z                     1.000      0.000      0.000         # pes.subpes.channel  66.1.1
C5O2sidwaoze = C2H2(40) + S(2258)e                      1.000      0.000      0.000         # pes.subpes.channel  67.1.1
C5O2sidwaozz = C2H2(40) + S(2258)z                      1.000      0.000      0.000         # pes.subpes.channel  68.1.1
S(719) = S(722)r0                                       1.000      0.000      0.000         # pes.subpes.channel  69.1.1
S(719) = S(725)r0                                       1.000      0.000      0.000         # pes.subpes.channel  70.1.1
S(722)r0 = S(728)e                                      1.000      0.000      0.000         # pes.subpes.channel  71.1.1
S(722)r0 = S(728)z                                      1.000      0.000      0.000         # pes.subpes.channel  72.1.1
S(722)r0 = S(731)r0                                     1.000      0.000      0.000         # pes.subpes.channel  73.1.1
S(725)r0 = C5O2qarhfr                                   1.000      0.000      0.000         # pes.subpes.channel  74.1.1
S(725)r0 = S(722)r0                                     1.000      0.000      0.000         # pes.subpes.channel  75.1.1
S(725)r1 = S(734)r0                                     1.000      0.000      0.000         # pes.subpes.channel  76.1.1
S(719) = C5H8(522) + HO2(8)                             1.000      0.000      0.000         # pes.subpes.channel  77.1.1
S(725)r0 = C5H8O(829)rs + OH(4)                         1.000      0.000      0.000         # pes.subpes.channel  78.1.1
S(728)e = C2H4(52) + S(2258)e                           1.000      0.000      0.000         # pes.subpes.channel  79.1.1
S(728)z = C2H4(52) + S(2258)z                           1.000      0.000      0.000         # pes.subpes.channel  80.1.1
S(731)r0 = C2H4(52) + S(2258)e                          1.000      0.000      0.000         # pes.subpes.channel  81.1.1
S(731)r0 = C2H4(52) + S(2258)z                          1.000      0.000      0.000         # pes.subpes.channel  82.1.1
S(734)r0 = C2H4O2(58) + C3H5(122)                       1.000      0.000      0.000         # pes.subpes.channel  83.1.1
S(734)r0 = C5H8(524) + HO2(8)                           1.000      0.000      0.000         # pes.subpes.channel  84.1.1
C5H9(553) + O2(6) = S(719)                              1.000      0.000      0.000         # pes.subpes.channel  85.1.1

END
