REACTIONS    CAL/MOL   MOL

C5H9O(852)r0 = S(1247)                         7.250E+10     0.6000      36900   ! pes.subpes.channel  1.1.1
C5H9O(852)r0 = S(1248)r0                       616370000      1.300      41150   ! pes.subpes.channel  1.1.2
C5H9O(852)r0 = S(1248)r1                       616370000      1.300      41150   ! pes.subpes.channel  1.1.3
C5H9O(852)r1 = S(1247)                         7.250E+10     0.6000      36900   ! pes.subpes.channel  1.1.4
C5H9O(852)r1 = S(1248)r0                       616370000      1.300      41150   ! pes.subpes.channel  1.1.5
C5H9O(852)r1 = S(1248)r1                       616370000      1.300      41150   ! pes.subpes.channel  1.1.6
C5H9O(853)e = C5H9O(852)r0                      16500000      1.020      14200   ! pes.subpes.channel  1.1.7
C5H9O(853)e = C5H9O(852)r1                      16500000      1.020      14200   ! pes.subpes.channel  1.1.8
C5H9O(853)e = S(1260)e                            718000      2.050      36300   ! pes.subpes.channel  1.1.9
C5H9O(853)e = S(1753)ee                            25000      2.280      28500   ! pes.subpes.channel  1.1.10
C5H9O(853)e = S(1753)ze                            25000      2.280      28500   ! pes.subpes.channel  1.1.11
C5H9O(853)z = C5H9O(852)r0                      16500000      1.020      14200   ! pes.subpes.channel  1.1.12
C5H9O(853)z = C5H9O(852)r1                      16500000      1.020      14200   ! pes.subpes.channel  1.1.13
C5H9O(853)z = C5H9O(858)z                      2.800E+10      0.000       8140   ! pes.subpes.channel  1.1.14
C5H9O(853)z = S(1260)z                            718000      2.050      36300   ! pes.subpes.channel  1.1.15
C5H9O(853)z = S(1753)ez                            25000      2.280      28500   ! pes.subpes.channel  1.1.16
C5H9O(853)z = S(1753)zz                            25000      2.280      28500   ! pes.subpes.channel  1.1.17
C5H9O(855) = C5H9O(856)                            1.446      3.077      15119   ! pes.subpes.channel  1.1.18
C5H9O(855) = C5H9O(858)e                      6820000000     0.7300      30500   ! pes.subpes.channel  1.1.19
C5H9O(855) = C5H9O(858)z                      6820000000     0.7300      30500   ! pes.subpes.channel  1.1.20
C5H9O(856) = C5H9O(858)e                       774568200      1.384      38067   ! pes.subpes.channel  1.1.21
C5H9O(856) = C5H9O(858)z                       774568200      1.384      38067   ! pes.subpes.channel  1.1.22
