'name','Carbon_Count','Functional_Group'
'S(1563)r0','5','Ether'
'S(1607)z','5','Ether'
'S(1607)e','5','Ether'
'S(1672)','5','Ether'
'S(1265)z','5','Alcohol'
'S(1265)e','5','Alcohol'
'S(1375)','5','Alcohol'
'S(1266)zz','5','Alcohol'
'S(1266)ze','5','Alcohol'
'S(1266)ez','5','Alcohol'
'S(1266)ee','5','Alcohol'
'S(1568)','5','Ester'
'C4H8O(430)r0','4','Alcohol'
'S(1464)z','4','Alcohol and Ketone'
'S(1464)e','4','Alcohol and Ketone'
'S(1314)r0','5','Ether'
'S(1658)r0','5','Ether'
'S(1659)r0','5','Ether'
'S(1559)rr0','5','Ether'
'NC3H7(137)','3','Alkane/Alkene/Alkyne'
'C5H7O(762)','5','Ether'
'S(1661)r0','5','Ketone/Aldehyde'
'S(1562)rr0','5','Ketone/Aldehyde'
'S(1562)rs0','5','Ketone/Aldehyde'
'S(1580)','5','Ketone/Aldehyde'
'S(172)','3','Alcohol and Ketone'
'S(183)','3','Alcohol and Ketone'
'S(1505)','5','Alcohol'
'C2H5O2(73)','2','Hydroperoxide'
'C2H4O(37)','2','Ether'
'C5H9O(862)z','5','Alkane/Alkene/Alkyne'
'C5H9O(862)e','5','Alkane/Alkene/Alkyne'
'S(646)','5','Hydroperoxide'
'S(1270)','5','Alcohol'
'S(1597)zr0','5','Alcohol and Ketone'
'S(1597)er0','5','Alcohol and Ketone'
'S(1351)','5','Ether'
'C3H5(1442)','3','Alkane/Alkene/Alkyne'
'S(1338)zzz','5','Alcohol'
'S(1338)zze','5','Alcohol'
'S(1338)zez','5','Alcohol'
'S(1338)zee','5','Alcohol'
'S(1338)ezz','5','Alcohol'
'S(1338)eze','5','Alcohol'
'S(1338)eez','5','Alcohol'
'S(1338)eee','5','Alcohol'
'S(1332)','5','Ketone/Aldehyde'
'S(1451)r0','5','Hydroperoxide'
'C3H6O(126)','3','Ketone/Aldehyde'
'S(1615)','3','Alkane/Alkene/Alkyne'
'S(1594)zz','5','Alcohol'
'S(1594)ze','5','Alcohol'
'S(1594)ez','5','Alcohol'
'S(1594)ee','5','Alcohol'
'S(1517)zz','5','Alcohol'
'S(1517)ze','5','Alcohol'
'S(1517)ez','5','Alcohol'
'S(1517)ee','5','Alcohol'
'S(1409)r0','5','Alcohol'
'S(1207)rs','5','Peroxide'
'CHOCHO(76)','2','Ketone/Aldehyde'
'C5H9O(855)','5','Ketone/Aldehyde'
'S(438)','4','Hydroperoxide'
'S(1619)r0','5','Ether'
'S(1257)z','5','Alcohol'
'S(1257)e','5','Alcohol'
'C5H7O(681)','5','Alkane/Alkene/Alkyne'
'S(1676)r0','5','Ether'
'S(1652)','5','Ether'
'S(1677)','5','Ether'
'S(1665)','5','Ether'
'S(1679)r0','5','Ether and Alcohol/Ketone'
'S(1678)r0','5','Ether'
'S(1467)r0','5','Ester'
'S(1469)r0','5','Ketone/Aldehyde'
'S(1663)r0','5','Ester'
'S(148)','3','Peroxy Radical'
'S(158)','3','Hydroperoxide'
'S(1675)rrr0','5','Hydroperoxide'
'S(1675)rrs0','5','Hydroperoxide'
'S(1675)rsr0','5','Hydroperoxide'
'S(1675)rss0','5','Hydroperoxide'
'S(1611)z','5','Ether and Alcohol/Ketone'
'S(1611)e','5','Ether and Alcohol/Ketone'
'S(1358)','5','Ketone/Aldehyde'
'S(1673)zz','5','Ether'
'S(1673)ze','5','Ether'
'S(1673)ez','5','Ether'
'S(1673)ee','5','Ether'
'C5H9(536)','5','Alkane/Alkene/Alkyne'
'S(1634)r0','5','Alcohol'
'S(1440)r0','5','Alkane/Alkene/Alkyne'
'S(1595)zz','5','Alcohol'
'S(1595)ze','5','Alcohol'
'S(1595)ez','5','Alcohol'
'S(1595)ee','5','Alcohol'
'S(865)','5','Hydroperoxide'
'S(1283)','3','Hydroperoxide'
'S(1481)','3','Ether'
'S(1456)r0','5','Ether and Alcohol/Ketone'
'S(1471)r0','5','Ketone/Aldehyde'
'C4H6(1668)','4','Alkane/Alkene/Alkyne'
'S(1657)','5','Alkane/Alkene/Alkyne'
'C5H7(1222)z','5','Alkane/Alkene/Alkyne'
'C5H7(1222)e','5','Alkane/Alkene/Alkyne'
'C5H8O(837)z','5','Ketone/Aldehyde'
'C5H8O(837)e','5','Ketone/Aldehyde'
'S(139)','3','Hydroperoxide'
'C4H7O(419)rr0','4','Ether'
'C4H7O(419)rs0','4','Ether'
'S(1610)','4','Ether'
'S(1258)zz','5','Alcohol'
'S(1258)ze','5','Alcohol'
'S(1258)ez','5','Alcohol'
'S(1258)ee','5','Alcohol'
'S(1484)','5','Alkane/Alkene/Alkyne'
'S(1285)z','3','Hydroperoxide'
'S(1285)e','3','Hydroperoxide'
'S(1538)r0','5','Ether and Alcohol/Ketone'
'S(1246)zr0','5','Peroxide'
'S(1246)er0','5','Peroxide'
'S(1577)z','5','Alcohol'
'S(1577)e','5','Alcohol'
'S(1596)zz','5','Hydroperoxide'
'S(1596)ze','5','Hydroperoxide'
'S(1596)ez','5','Hydroperoxide'
'S(1596)ee','5','Hydroperoxide'
'S(1506)z','3','Alcohol and Ketone'
'S(1506)e','3','Alcohol and Ketone'
'S(1323)z','5','Alcohol and Ketone'
'S(1323)e','5','Alcohol and Ketone'
'S(1482)r0','5','Ether'
'C4H6O(331)','4','Ketone/Aldehyde'
'S(928)z','5','Alcohol'
'S(928)e','5','Alcohol'
'S(1551)','4','Hydroperoxide'
'S(1662)','4','Ether'
'S(1347)zr0','5','Alcohol'
'S(1347)er0','5','Alcohol'
'S(1277)z','3','Hydroperoxide'
'S(1277)e','3','Hydroperoxide'
'S(1617)','5','Alcohol and Ketone'
'S(1480)r0','5','Alcohol and Ketone'
'S(1492)rr0','5','Alcohol'
'S(1492)rs0','5','Alcohol'
'C5H8O(833)','5','Ketone/Aldehyde'
'S(1437)','4','Peroxy Radical'
'CH3O(26)','1','Alkane/Alkene/Alkyne'
'S(1670)','4','Hydroperoxide'
'S(1426)r0','5','Alcohol'
'S(1554)r0','5','Ketone/Aldehyde'
'S(1543)z','5','Ketone/Aldehyde'
'S(1543)e','5','Ketone/Aldehyde'
'S(1601)','5','Ether'
'S(1278)','3','Alkane/Alkene/Alkyne'
'S(1674)z','5','Alcohol'
'S(1674)e','5','Alcohol'
'C4H7O(402)','4','Alkane/Alkene/Alkyne'
'S(1398)','4','Ketone/Aldehyde'
'S(1417)','3','Ketone/Aldehyde'
'S(1646)r0','5','Ketone/Aldehyde'
'S(1620)r0','5','Ester'
'S(1604)','4','Ester'
'S(1518)r0','3','Alcohol'
'S(1327)','5','Ether and Alcohol/Ketone'
'S(1476)','5','Ketone/Aldehyde'
'S(1352)','5','Ketone/Aldehyde'
'C5H7O(782)','5','Ketone/Aldehyde'
'S(1649)z','5','Alcohol'
'S(1649)e','5','Alcohol'
'C2H3O(93)','2','Alcohol'
'S(1524)zz','5','Alcohol'
'S(1524)ze','5','Alcohol'
'S(1524)ez','5','Alcohol'
'S(1524)ee','5','Alcohol'
'S(1477)','5','Ketone/Aldehyde'
'S(1682)','5','Carboxylic Acid'
'S(1483)','3','Alcohol'
'C4H5(1650)','4','Alkane/Alkene/Alkyne'
'HCCO(64)','2','Alkane/Alkene/Alkyne'
'S(1684)','5','Ketone/Aldehyde'
'S(1683)','5','Ketone/Aldehyde'
'S(1325)','5','Alcohol and Ketone'
'S(1519)z','5','Alcohol'
'S(1519)e','5','Alcohol'
'S(1487)z','5','Ether and Alcohol/Ketone'
'S(1487)e','5','Ether and Alcohol/Ketone'
'S(1656)r0','5','Ether'
'S(1681)rr0','5','Alcohol and Ketone'
'S(1681)rs0','5','Alcohol and Ketone'
'S(1348)r0','5','Alcohol and Ketone'
'S(612)r0','5','Alcohol and Ketone'
'S(1462)z','5','Alcohol and Ketone'
'S(1462)e','5','Alcohol and Ketone'
'S(1557)','5','Alcohol and Ketone'
'C4H7O(394)z','4','Alkane/Alkene/Alkyne'
'C4H7O(394)e','4','Alkane/Alkene/Alkyne'
'S(1513)','5','Ether'
'C5H9(1680)','5','Alkane/Alkene/Alkyne'
'S(1330)zr0','5','Alcohol and Ketone'
'S(1330)er0','5','Alcohol and Ketone'
'S(1399)zzz','5','Alcohol'
'S(1399)zze','5','Alcohol'
'S(1399)zez','5','Alcohol'
'S(1399)zee','5','Alcohol'
'S(1399)ezz','5','Alcohol'
'S(1399)eze','5','Alcohol'
'S(1399)eez','5','Alcohol'
'S(1399)eee','5','Alcohol'
'S(1638)r0','5','Ether and Alcohol/Ketone'
'S(1560)r0','5','Ketone/Aldehyde'
'S(1267)rrs0','5','Alcohol'
'S(1267)rss0','5','Alcohol'
'S(1414)','2','Alcohol'
'S(1510)','5','Carboxylic Acid'
'S(1685)','5','Carboxylic Acid'
'S(1628)','5','Ketone/Aldehyde'
'S(1532)zr0','5','Alcohol and Ketone'
'S(1532)er0','5','Alcohol and Ketone'
'S(1534)zr0','5','Ketone/Aldehyde'
'S(1534)er0','5','Ketone/Aldehyde'
'S(1454)rr0','5','Alcohol and Ketone'
'S(1454)rs0','5','Alcohol and Ketone'
'S(1531)zzz','5','Alcohol'
'S(1531)zze','5','Alcohol'
'S(1531)zez','5','Alcohol'
'S(1531)zee','5','Alcohol'
'S(1531)ezz','5','Alcohol'
'S(1531)eze','5','Alcohol'
'S(1531)eez','5','Alcohol'
'S(1531)eee','5','Alcohol'
'S(1441)rsr0','5','Alcohol'
'S(1441)rss0','5','Alcohol'
'S(1654)','5','Alcohol'
'S(1639)zz','5','Alcohol'
'S(1639)ze','5','Alcohol'
'S(1639)ez','5','Alcohol'
'S(1639)ee','5','Alcohol'
'S(1459)','5','Ketone/Aldehyde'
'S(1359)z','5','Ketone/Aldehyde'
'S(1359)e','5','Ketone/Aldehyde'
'S(1452)zz','5','Alcohol'
'S(1452)ze','5','Alcohol'
'S(1452)ez','5','Alcohol'
'S(1452)ee','5','Alcohol'
'S(1450)z','5','Alcohol and Ketone'
'S(1450)e','5','Alcohol and Ketone'
'S(1586)rr0','5','Ether and Alcohol/Ketone'
'S(1586)rs0','5','Ether and Alcohol/Ketone'
'S(1603)rr0','5','Ether and Alcohol/Ketone'
'S(1603)rs0','5','Ether and Alcohol/Ketone'
'S(1416)z','4','Alcohol and Ketone'
'S(1416)e','4','Alcohol and Ketone'
'S(1326)','5','Ether and Alcohol/Ketone'
'S(1561)rr0','5','Ketone/Aldehyde'
'S(1561)rs0','5','Ketone/Aldehyde'
'S(1479)z','5','Hydroperoxide'
'S(1479)e','5','Hydroperoxide'
'S(1353)r0','3','Alcohol and Ketone'
